"","x"
"7SK",0.0611172968816591
"A1BG",0.171326101037608
"A1BG-AS1",0.025618808110003
"A2ML1",0.000819719589018038
"A4GALT",0.295308536211482
"AAAS",1.34488886842748
"AACSP1",0.00742271222142646
"AADAC",0.0154188839884371
"AAK1",1.28177905658261
"AANAT",0.00366612303669346
"AARS2",0.230825095955316
"AARSD1",1.58454178200572
"AATF",4.39167367043174
"AATK-AS1",0.000112789326051294
"AB075492",0.00549839937869179
"AB209185",0.000249464076324831
"AB429224",0.00583371791782023
"ABAT",0.00405707466458625
"ABCA10",0.000574470523452095
"ABCA17P",0.00277631618889589
"ABCA2",0.561941031556027
"ABCA3",0.371444268912156
"ABCA5",0.00541754180783978
"ABCA8",0.0126098512303335
"ABCB10",0.0248739474995747
"ABCB4",0.000166284013893894
"ABCB5",0.000570894768508737
"ABCB6;ATG9A",2.30750109236119
"ABCB7",0.0288388902140528
"ABCB8",0.431923532173524
"ABCC10",0.153860971203929
"ABCC12",0.00545406492070162
"ABCC13",0.00194092298005137
"ABCC3",2.7865489830781
"ABCC4",0.111380362274859
"ABCC5",0.129098162609211
"ABCC8",0.0260042709554272
"ABCD2",0.00213731051758756
"ABCD4",0.444304298009307
"ABCF1;MIR877",1.66198668138171
"ABCF2",2.15427323261485
"ABCF3",0.302938724057571
"ABCG1",0.0117345907881848
"ABCG2",0.0627195995665535
"ABCG4",0.004602798271059
"ABCG5",0.00143012314643292
"ABCG8",0.000166284013893894
"ABHD10",0.0262822864518083
"ABHD12",2.17587483397234
"ABHD16A;MIR4646",0.311391273512809
"ABHD1;AK074615",0.0536135868930747
"ABHD3",0.021271135961416
"ABHD4",1.58236783599378
"ABHD5",0.0377173561001933
"ABHD6",0.242058222132206
"ABI2",0.198403871488891
"ABI3",0.000402723176483582
"ABI3BP",0.000542974880315465
"ABL2",0.468791777775085
"ABLIM1",1.24445401392217
"ABLIM2",0.00202121796397778
"ABTB2",0.35362775903943
"ACAA1",0.656728730460266
"ACAA2",0.579397740436727
"ACACA",0.496083367311912
"ACACB",0.178365764626193
"ACAD10",0.313377816109181
"ACAD11;NPHP3-ACAD11",0.111624984938632
"ACAD8",0.0776585125919567
"ACADS",0.28331850108231
"ACAP1",0.0583720411863976
"ACAT1",0.24455376637199
"ACAT2",0.222444689687616
"ACBD3",0.534554825097079
"ACBD5",0.322490657383266
"ACBD6",1.62650009705385
"ACBD7",0.0461224894948602
"ACCN2",0.182929619008633
"ACCN3",0.247997639495675
"ACCN4",0.00435823436356465
"ACD",0.412319075851069
"ACE",0.00910821748648135
"ACER3",0.0336204265194846
"ACLY",1.12228183971929
"ACO2",0.727418739967062
"ACOT1",0.496942289147068
"ACOT11",0.0102089939178561
"ACOT13",0.647784819068417
"ACOT2",0.000353558543761656
"ACOT4",0.0659413289435512
"ACOT7",1.06175658500698
"ACOT8",0.17837236508054
"ACOX1",0.444536307260977
"ACOX2",0.0977949992367312
"ACOX3",0.155221794514876
"ACP2",0.326810472530165
"ACP6",0.439797638097298
"ACPP",0.00101737328153761
"ACRBP",0.000539367166123523
"ACRV1",0.000735600311276628
"ACSF3",0.52379530938346
"ACSL5",0.000982435679977209
"ACSS1",0.382538058757116
"ACSS2",0.108401767965989
"ACSS3",0.000938904032068654
"ACTA1",0.00252217948796437
"ACTA2;FAS-AS1",0.0616528990395427
"ACTB",1.29550583196912
"ACTG2",0.000299179667215355
"ACTL6B",0.000407199880250659
"ACTN2",0.000421791503735639
"ACTN3",0.00247240183442238
"ACTN4",49.0003338350297
"ACTR10",0.0809988839477759
"ACTR1A",1.61513849994185
"ACTR6",0.017259656319655
"ACTR8",0.19899443096295
"ACVR2B",0.125106301132103
"ACYP1",0.421118070990034
"ACYP2",0.0690036864656297
"ADA",0.931407187329403
"ADAM1",0.0506845097276134
"ADAM10",0.0806718432071266
"ADAM15",0.707487752959747
"ADAM19;AL049415",0.0742991809054618
"ADAM20",0.00100833164269728
"ADAM22",0.000438930808142383
"ADAM23",0.0264296805014688
"ADAM28",0.000613560697657781
"ADAM9",0.170117584745577
"ADAMDEC1",0.000132888378745168
"ADAMTS13",0.0188462178328826
"ADAMTS15",0.0792951652964741
"ADAMTS6",0.0050718038572086
"ADAMTS8",0.0108344837754615
"ADAMTSL4",0.0366312612295903
"ADAP2",0.200050192134366
"ADAR",2.62611148572963
"ADARB1",0.0445711247161751
"ADAT1",0.198736107482274
"ADCK1",0.083346478917971
"ADCK3",0.465004480116609
"ADCK4",0.394275279365529
"ADCK5",0.326142016918791
"ADCY5",0.0250086341084173
"ADCY6;MIR4701",0.453952806906244
"ADCY7",0.135393722952587
"ADCY9",0.343839957610617
"ADD2",0.441856661552661
"ADH1C",0.00069242237522992
"ADH6",0.00363297989935656
"ADI1",2.27898610504557
"ADIPOR1",0.211991008331407
"ADIPOR2",0.662319786002961
"ADM2",0.0261680118061952
"ADNP2",0.547022448500286
"ADO",0.00982269066411898
"ADORA1",0.0044157333853826
"ADPRH",0.0834912391394994
"ADPRHL1",0.253964228811325
"ADRA1D",0.0591045110028299
"ADRB1",0.037841299327575
"ADRBK1",0.771909223846451
"ADRM1",5.47179374625863
"ADSS",0.399821045421099
"AEBP1;MIR4649",0.00122161464759052
"AEBP2",0.0713984506460746
"AEN",1.34082104766415
"AES",5.19280486678795
"AF007147",0.000273558944142355
"AF020763",0.00512302850391737
"AF035281;LOC155060;ZNF783",0.328494152524015
"AF055024",0.000495584024214632
"AF070581",0.000629799236459163
"AF075112",0.0055378186936737
"AF086102",0.00168415332860123
"AF086125",0.0113819596767879
"AF086132",0.0214328264246685
"AF086184",0.00144057398134246
"AF086285",0.0230682155409809
"AF086351",0.0513418547398853
"AF113016",0.0128530001146884
"AF157115",0.00604341696283224
"AF161365",0.00900453887519269
"AF161442",0.000141673370768633
"AF198444",0.0157330172749583
"AF283776",0.00589762639291562
"AF289551",0.129397145980075
"AF452719",0.649406454988392
"AF520792",0.00238180574857009
"AF520793",0.000348669855880104
"AFAP1",0.798302139444329
"AFAP1L2",0.0728358403079364
"AFF1",0.182074460839888
"AFF4",0.575016906899648
"AFMID",0.524243663646351
"AFP",0.00294331611920987
"AFTPH",0.0876868081295824
"AGA",0.106619663322466
"AGAP3;AX747175",1.15845478049366
"AGBL2",0.0125278295449743
"AGBL3",0.00508291405107272
"AGBL5",0.641122893455404
"AGER",0.0559674254399519
"AGFG1",1.58634818018741
"AGFG2",0.252310889574526
"AGGF1",0.347322924387544
"AGK",0.0557193482768443
"AGL",0.0285986239436196
"AGMAT",0.219369769150176
"AGPAT1",0.295217036016993
"AGPAT2",1.57449125800237
"AGPAT4",0.103778491235146
"AGPAT4-IT1",0.0211226227110567
"AGPAT6",1.36363578712843
"AGPAT9",0.100066016160233
"AGPHD1",0.0275305357405463
"AGPS",0.0593533476351673
"AGR2",1.33558258937563
"AGRN",2.91334185895271
"AGT",0.000166284013893894
"AHCYL2",0.0348266430455222
"AHDC1",0.667112924064318
"AHNAK2",3.30840214274512
"AHR",0.305126512200791
"AHRR",0.141077673973167
"AHSA1",3.3947645067998
"AHSA2",0.174695859043279
"AHSG",0.00403271428305222
"AICDA",0.00180934388400822
"AIDA",0.0107561878877186
"AIF1L",0.0313447840998935
"AIFM1",1.48120352761215
"AIFM2",0.422434578618524
"AIFM3",0.0670854495586462
"AIM1",0.0104448015751449
"AIM1L",0.0131650615792508
"AIMP1",0.152123620733419
"AIP",1.2011206844416
"AJ278121;HSPB6",0.00863330850522631
"AJUBA",0.474588632040799
"AK001057",0.0728931093658135
"AK001394",0.0138993526139644
"AK001875",0.000660749871814525
"AK021563",0.00186466984636536
"AK021570",0.00104850464792293
"AK021739",0.0119099420288549
"AK021804",0.00431925565539475
"AK021876",0.00381641623989319
"AK021888",0.0104034900421388
"AK022793",0.000505048767992168
"AK022898",0.000169563204676065
"AK022993",0.00143501782697841
"AK022997",0.00117613971444487
