"","gene","TAD"
"5S_rRNA","5S_rRNA","TAD_200"
"7M1-2;OR2F1","7M1-2;OR2F1","TAD_3171"
"7SK","7SK","TAD_122"
"A1BG","A1BG","TAD_1703"
"A1BG-AS1","A1BG-AS1","TAD_1703"
"A2M","A2M","TAD_715"
"A2ML1","A2ML1","TAD_714"
"A2MP1","A2MP1","TAD_715"
"A4GALT","A4GALT","TAD_2206"
"A4GNT","A4GNT","TAD_2363"
"AA06","AA06","TAD_1404"
"AAA1","AAA1","TAD_3027"
"AAAS","AAAS","TAD_771"
"AACS","AACS","TAD_858"
"AACSP1","AACSP1","TAD_2781"
"AADAC","AADAC","TAD_2376"
"AADACL2","AADACL2","TAD_2376"
"AAK1","AAK1","TAD_1783"
"AANAT","AANAT","TAD_1484"
"AARS2","AARS2","TAD_2858"
"AARSD1","AARSD1","TAD_1424"
"AASS","AASS","TAD_3145"
"AATF","AATF","TAD_1411"
"AATK","AATK","TAD_1496"
"AATK-AS1","AATK-AS1","TAD_1496"
"AB007962","AB007962","TAD_207"
"AB062081","AB062081","TAD_3651"
"AB062083","AB062083","TAD_1350"
"AB074160","AB074160","TAD_3047"
"AB074162","AB074162","TAD_3458"
"AB074166","AB074166","TAD_207"
"AB074188","AB074188","TAD_2662"
"AB075492","AB075492","TAD_2969"
"AB209061","AB209061","TAD_1261"
"AB209185","AB209185","TAD_3279"
"AB231702","AB231702","TAD_586"
"AB231703","AB231703","TAD_600"
"AB231705","AB231705","TAD_655"
"AB231721","AB231721","TAD_584"
"AB231722","AB231722","TAD_584"
"AB231723","AB231723","TAD_652"
"AB231724","AB231724","TAD_651"
"AB231731;MS4A4E","AB231731;MS4A4E","TAD_586"
"AB231739","AB231739","TAD_581"
"AB231741","AB231741","TAD_581"
"AB231742","AB231742","TAD_581"
"AB240015","AB240015","TAD_1167"
"AB372727","AB372727","TAD_2217"
"AB429224","AB429224","TAD_600"
"ABAT","ABAT","TAD_1213"
"ABCA10","ABCA10","TAD_1475"
"ABCA11P","ABCA11P","TAD_2430"
"ABCA12","ABCA12","TAD_1956"
"ABCA17P","ABCA17P","TAD_1203"
"ABCA2","ABCA2","TAD_3485"
"ABCA3","ABCA3","TAD_1203"
"ABCA5","ABCA5","TAD_1475"
"ABCA6","ABCA6","TAD_1475"
"ABCA8","ABCA8","TAD_1475"
"ABCA9","ABCA9","TAD_1475"
"ABCB1","ABCB1","TAD_3103"
"ABCB10","ABCB10","TAD_318"
"ABCB11","ABCB11","TAD_1911"
"ABCB4","ABCB4","TAD_3103"
"ABCB5","ABCB5","TAD_3009"
"ABCB6;ATG9A","ABCB6;ATG9A","TAD_1962"
"ABCB7","ABCB7","TAD_3573"
"ABCB8","ABCB8","TAD_3179"
"ABCB9","ABCB9","TAD_852"
"ABCC1","ABCC1","TAD_1230"
"ABCC10","ABCC10","TAD_2856"
"ABCC12","ABCC12","TAD_1281"
"ABCC13","ABCC13","TAD_2111"
"ABCC3","ABCC3","TAD_1444"
"ABCC4","ABCC4","TAD_934"
"ABCC5","ABCC5","TAD_2405"
"ABCC6P1","ABCC6P1","TAD_1235"
"ABCC6P2","ABCC6P2","TAD_1224"
"ABCC8","ABCC8","TAD_540"
"ABCC9","ABCC9","TAD_728"
"ABCD2","ABCD2","TAD_749"
"ABCD4","ABCD4","TAD_1029"
"ABCF1;MIR877","ABCF1;MIR877","TAD_2827"
"ABCF2","ABCF2","TAD_3179"
"ABCF3","ABCF3","TAD_2405"
"ABCG1","ABCG1","TAD_2136"
"ABCG2","ABCG2","TAD_2516"
"ABCG4","ABCG4","TAD_670"
"ABCG5","ABCG5","TAD_1752"
"ABCG8","ABCG8","TAD_1752"
"ABHD10","ABHD10","TAD_2328"
"ABHD12","ABHD12","TAD_2024"
"ABHD12B","ABHD12B","TAD_997"
"ABHD16A;MIR4646","ABHD16A;MIR4646","TAD_2831"
"ABHD16B","ABHD16B","TAD_2094"
"ABHD1;AK074615","ABHD1;AK074615","TAD_1732"
"ABHD2","ABHD2","TAD_1179"
"ABHD3","ABHD3","TAD_1524"
"ABHD4","ABHD4","TAD_970"
"ABHD5","ABHD5","TAD_2266"
"ABHD6","ABHD6","TAD_2290"
"ABI1","ABI1","TAD_371"
"ABI2","ABI2","TAD_1947"
"ABI3","ABI3","TAD_1442"
"ABI3BP","ABI3BP","TAD_2320"
"ABL2","ABL2","TAD_252"
"ABLIM1","ABLIM1","TAD_485"
"ABLIM2","ABLIM2","TAD_2443"
"ABLIM3","ABLIM3","TAD_2745"
"ABO","ABO","TAD_3478"
"ABRA","ABRA","TAD_3304"
"ABTB1","ABTB1","TAD_2347"
"ABTB2","ABTB2","TAD_555"
"AC2","AC2","TAD_214"
"ACAA1","ACAA1","TAD_2258"
"ACAA2","ACAA2","TAD_1544"
"ACACA","ACACA","TAD_1411"
"ACACB","ACACB","TAD_830"
"ACAD10","ACAD10","TAD_834"
"ACAD11;NPHP3-ACAD11","ACAD11;NPHP3-ACAD11","TAD_2354"
"ACAD8","ACAD8","TAD_692"
"ACADL","ACADL","TAD_1954"
"ACADM","ACADM","TAD_134"
"ACADS","ACADS","TAD_849"
"ACAN","ACAN","TAD_1178"
"ACAP1","ACAP1","TAD_1358"
"ACAT1","ACAT1","TAD_653"
"ACAT2","ACAT2","TAD_2976"
"ACBD3","ACBD3","TAD_313"
"ACBD5","ACBD5","TAD_372"
"ACBD6","ACBD6","TAD_254"
"ACBD7","ACBD7","TAD_358"
"ACCN2","ACCN2","TAD_763"
"ACCN3","ACCN3","TAD_3179"
"ACCN4","ACCN4","TAD_1963"
"ACCN5","ACCN5","TAD_2570"
"ACCSL","ACCSL","TAD_561"
"ACD","ACD","TAD_1297"
"ACE","ACE","TAD_1463"
"ACE2","ACE2","TAD_3505"
"ACER1","ACER1","TAD_1595"
"ACER2","ACER2","TAD_3347"
"ACER3","ACER3","TAD_625"
"ACLY","ACLY","TAD_1422"
"ACMSD","ACMSD","TAD_1881"
"ACO2","ACO2","TAD_2202"
