"","gene","TAD"
"7SK","7SK","TAD_2383"
"A1BG","A1BG","TAD_1315"
"A1BG-AS1","A1BG-AS1","TAD_2579"
"A2M","A2M","TAD_3144"
"A2ML1","A2ML1","TAD_1529"
"A4GALT","A4GALT","TAD_2432"
"AAAS","AAAS","TAD_320"
"AACSP1","AACSP1","TAD_3629"
"AAK1","AAK1","TAD_3002"
"AARS2","AARS2","TAD_1487"
"AARSD1","AARSD1","TAD_2968"
"AASS","AASS","TAD_2281"
"AATF","AATF","TAD_1832"
"AB074162","AB074162","TAD_1020"
"AB074166","AB074166","TAD_378"
"AB209185","AB209185","TAD_3120"
"ABAT","ABAT","TAD_1668"
"ABCA10","ABCA10","TAD_81"
"ABCA11P","ABCA11P","TAD_2034"
"ABCA17P","ABCA17P","TAD_764"
"ABCA2","ABCA2","TAD_1535"
"ABCA3","ABCA3","TAD_1209"
"ABCA8","ABCA8","TAD_61"
"ABCB10","ABCB10","TAD_3400"
"ABCB4","ABCB4","TAD_1137"
"ABCB5","ABCB5","TAD_92"
"ABCB6;ATG9A","ABCB6;ATG9A","TAD_2536"
"ABCB7","ABCB7","TAD_1726"
"ABCB8","ABCB8","TAD_1321"
"ABCC10","ABCC10","TAD_1237"
"ABCC12","ABCC12","TAD_1290"
"ABCC13","ABCC13","TAD_2376"
"ABCC3","ABCC3","TAD_3285"
"ABCC4","ABCC4","TAD_2094"
"ABCC5","ABCC5","TAD_3338"
"ABCC8","ABCC8","TAD_3147"
"ABCC9","ABCC9","TAD_3145"
"ABCD2","ABCD2","TAD_1499"
"ABCD4","ABCD4","TAD_2837"
"ABCF2","ABCF2","TAD_485"
"ABCF3","ABCF3","TAD_2456"
"ABCG1","ABCG1","TAD_597"
"ABCG2","ABCG2","TAD_619"
"ABCG4","ABCG4","TAD_759"
"ABHD10","ABHD10","TAD_582"
"ABHD12","ABHD12","TAD_2842"
"ABHD16A;MIR4646","ABHD16A;MIR4646","TAD_972"
"ABHD1;AK074615","ABHD1;AK074615","TAD_1704"
"ABHD3","ABHD3","TAD_1281"
"ABHD5","ABHD5","TAD_232"
