"","gene","TAD"
"7SK","7SK","TAD_541"
"A1BG","A1BG","TAD_215"
"A1BG-AS1","A1BG-AS1","TAD_501"
"A2M","A2M","TAD_1184"
"A2ML1","A2ML1","TAD_1206"
"A4GALT","A4GALT","TAD_606"
"A4GNT","A4GNT","TAD_61"
"AAA1","AAA1","TAD_329"
"AAAS","AAAS","TAD_220"
"AACS","AACS","TAD_2057"
"AADAC","AADAC","TAD_10"
"AANAT","AANAT","TAD_1127"
"AARS2","AARS2","TAD_245"
"AASS","AASS","TAD_431"
"AATF","AATF","TAD_1740"
"AATK","AATK","TAD_2836"
"AB007962","AB007962","TAD_2724"
"AB074162","AB074162","TAD_3261"
"AB074166","AB074166","TAD_1645"
"AB075492","AB075492","TAD_1361"
"AB209185","AB209185","TAD_429"
"AB231705","AB231705","TAD_2672"
"ABAT","ABAT","TAD_3009"
"ABCA10","ABCA10","TAD_3466"
"ABCA5","ABCA5","TAD_692"
"ABCA6","ABCA6","TAD_541"
"ABCA8","ABCA8","TAD_1309"
"ABCB1","ABCB1","TAD_2764"
"ABCB10","ABCB10","TAD_2367"
"ABCB4","ABCB4","TAD_1664"
"ABCB5","ABCB5","TAD_777"
"ABCB6;ATG9A","ABCB6;ATG9A","TAD_3270"
"ABCB7","ABCB7","TAD_313"
"ABCB8","ABCB8","TAD_3564"
"ABCB9","ABCB9","TAD_1645"
"ABCC1","ABCC1","TAD_565"
"ABCC13","ABCC13","TAD_2454"
"ABCC3","ABCC3","TAD_2136"
"ABCC4","ABCC4","TAD_1617"
"ABCC5","ABCC5","TAD_1766"
"ABCC8","ABCC8","TAD_1123"
"ABCF1;MIR877","ABCF1;MIR877","TAD_3678"
"ABCF2","ABCF2","TAD_1936"
"ABCF3","ABCF3","TAD_115"
"ABCG1","ABCG1","TAD_1291"
"ABCG2","ABCG2","TAD_2504"
"ABCG4","ABCG4","TAD_2484"
"ABCG5","ABCG5","TAD_3110"
"ABHD10","ABHD10","TAD_2059"
"ABHD12","ABHD12","TAD_2031"
"ABHD12B","ABHD12B","TAD_2842"
"ABHD16A;MIR4646","ABHD16A;MIR4646","TAD_1998"
"ABHD1;AK074615","ABHD1;AK074615","TAD_513"
"ABHD2","ABHD2","TAD_884"
"ABHD3","ABHD3","TAD_1424"
"ABHD6","ABHD6","TAD_2001"
"ABI1","ABI1","TAD_3644"
"ABI3","ABI3","TAD_1344"
"ABI3BP","ABI3BP","TAD_2412"
"ABL2","ABL2","TAD_970"
"ABLIM1","ABLIM1","TAD_2424"
"ABLIM3","ABLIM3","TAD_1199"
"ABRA","ABRA","TAD_1135"
"ABTB1","ABTB1","TAD_2033"
"ABTB2","ABTB2","TAD_3535"
"AC2","AC2","TAD_652"
"ACAA1","ACAA1","TAD_2266"
"ACAA2","ACAA2","TAD_457"
"ACACA","ACACA","TAD_3573"
"ACACB","ACACB","TAD_565"
"ACAD10","ACAD10","TAD_2838"
"ACAD11;NPHP3-ACAD11","ACAD11;NPHP3-ACAD11","TAD_3082"
"ACAD8","ACAD8","TAD_3332"
"ACADM","ACADM","TAD_1064"
"ACADS","ACADS","TAD_2998"
"ACAP1","ACAP1","TAD_1082"
"ACAT1","ACAT1","TAD_3621"
"ACAT2","ACAT2","TAD_2119"
"ACBD5","ACBD5","TAD_3275"
"ACBD6","ACBD6","TAD_2205"
"ACBD7","ACBD7","TAD_185"
"ACCN2","ACCN2","TAD_2493"
"ACCN3","ACCN3","TAD_585"
"ACCN4","ACCN4","TAD_1506"
"ACCSL","ACCSL","TAD_245"
"ACD","ACD","TAD_3200"
"ACE2","ACE2","TAD_1689"
"ACER2","ACER2","TAD_1672"
"ACER3","ACER3","TAD_2454"
"ACLY","ACLY","TAD_2603"
"ACO2","ACO2","TAD_1794"
"ACOT11","ACOT11","TAD_1158"
"ACOT13","ACOT13","TAD_2792"
"ACOT7","ACOT7","TAD_3360"
"ACOT8","ACOT8","TAD_943"
"ACOX1","ACOX1","TAD_911"
"ACOX2","ACOX2","TAD_2980"
"ACOX3","ACOX3","TAD_2886"
"ACOXL","ACOXL","TAD_2115"
"ACP2","ACP2","TAD_280"
"ACP6","ACP6","TAD_3332"
"ACPP","ACPP","TAD_2091"
"ACPT","ACPT","TAD_1484"
"ACRBP","ACRBP","TAD_832"
"ACRV1","ACRV1","TAD_1290"
"ACSBG1","ACSBG1","TAD_22"
"ACSBG2","ACSBG2","TAD_1057"
"ACSF3","ACSF3","TAD_1745"
"ACSL3","ACSL3","TAD_2804"
"ACSL4","ACSL4","TAD_1004"
"ACSL5","ACSL5","TAD_1263"
"ACSS2","ACSS2","TAD_254"
"ACSS3","ACSS3","TAD_1482"
"ACTA1","ACTA1","TAD_2395"
"ACTA2;FAS-AS1","ACTA2;FAS-AS1","TAD_340"
"ACTB","ACTB","TAD_2160"
"ACTG2","ACTG2","TAD_296"
"ACTL7B","ACTL7B","TAD_207"
"ACTL8","ACTL8","TAD_2040"
"ACTN2","ACTN2","TAD_1174"
"ACTN3","ACTN3","TAD_2345"
"ACTN4","ACTN4","TAD_2979"
"ACTR10","ACTR10","TAD_1291"
"ACTR3","ACTR3","TAD_1732"
"ACTR5","ACTR5","TAD_910"
"ACTR6","ACTR6","TAD_1352"
"ACTR8","ACTR8","TAD_1052"
"ACVR1","ACVR1","TAD_3157"
"ACVR1C","ACVR1C","TAD_2886"
"ACVR2A","ACVR2A","TAD_313"
"ACVR2B","ACVR2B","TAD_3530"
"ACVRL1","ACVRL1","TAD_883"
"ACYP1","ACYP1","TAD_2835"
"ADAD2","ADAD2","TAD_1352"
"ADAM1","ADAM1","TAD_1029"
"ADAM10","ADAM10","TAD_1630"
"ADAM12","ADAM12","TAD_3048"
"ADAM19;AL049415","ADAM19;AL049415","TAD_1662"
"ADAM20","ADAM20","TAD_2760"
"ADAM21","ADAM21","TAD_974"
"ADAM22","ADAM22","TAD_241"
"ADAM23","ADAM23","TAD_1442"
"ADAM29","ADAM29","TAD_861"
"ADAM32","ADAM32","TAD_1653"
"ADAM9","ADAM9","TAD_3461"
"ADAMDEC1","ADAMDEC1","TAD_1487"
"ADAMTS1","ADAMTS1","TAD_2682"
"ADAMTS12","ADAMTS12","TAD_2303"
"ADAMTS13","ADAMTS13","TAD_2611"
"ADAMTS14","ADAMTS14","TAD_1294"
"ADAMTS15","ADAMTS15","TAD_3432"
"ADAMTS16","ADAMTS16","TAD_803"
"ADAMTS17","ADAMTS17","TAD_2826"
"ADAMTS18","ADAMTS18","TAD_3360"
"ADAMTS5","ADAMTS5","TAD_1596"
"ADAMTS6","ADAMTS6","TAD_316"
"ADAMTS8","ADAMTS8","TAD_3622"
"ADAMTS9-AS2","ADAMTS9-AS2","TAD_713"
"ADAMTSL1;DKFZp686L03130","ADAMTSL1;DKFZp686L03130","TAD_1434"
"ADAMTSL3","ADAMTSL3","TAD_589"
"ADAP2","ADAP2","TAD_337"
"ADAR","ADAR","TAD_2803"
"ADARB1","ADARB1","TAD_2035"
"ADARB2","ADARB2","TAD_850"
"ADAT1","ADAT1","TAD_157"
"ADCK1","ADCK1","TAD_1500"
"ADCK3","ADCK3","TAD_3174"
"ADCK5","ADCK5","TAD_2724"
"ADCY10","ADCY10","TAD_593"
"ADCY2","ADCY2","TAD_2181"
"ADCY4","ADCY4","TAD_769"
