"","gene","TAD"
"7SK","7SK","TAD_240"
"A1BG","A1BG","TAD_1649"
"A1BG-AS1","A1BG-AS1","TAD_2777"
"A4GALT","A4GALT","TAD_1027"
"AAAS","AAAS","TAD_220"
"AAK1","AAK1","TAD_1036"
"AANAT","AANAT","TAD_763"
"AARS2","AARS2","TAD_3464"
"AARSD1","AARSD1","TAD_1109"
"AATF","AATF","TAD_854"
"AATK-AS1","AATK-AS1","TAD_3261"
"AB075492","AB075492","TAD_1167"
"ABAT","ABAT","TAD_2057"
"ABCA10","ABCA10","TAD_593"
"ABCA17P","ABCA17P","TAD_1612"
"ABCA2","ABCA2","TAD_496"
"ABCA3","ABCA3","TAD_1264"
"ABCA5","ABCA5","TAD_1200"
"ABCA8","ABCA8","TAD_52"
"ABCB6;ATG9A","ABCB6;ATG9A","TAD_157"
"ABCB7","ABCB7","TAD_2994"
"ABCB8","ABCB8","TAD_217"
"ABCC10","ABCC10","TAD_2217"
"ABCC12","ABCC12","TAD_2265"
"ABCC3","ABCC3","TAD_3338"
"ABCC4","ABCC4","TAD_1352"
"ABCC5","ABCC5","TAD_1969"
"ABCC8","ABCC8","TAD_141"
"ABCD4","ABCD4","TAD_3485"
"ABCF1;MIR877","ABCF1;MIR877","TAD_1202"
"ABCF2","ABCF2","TAD_2094"
"ABCF3","ABCF3","TAD_1971"
"ABCG2","ABCG2","TAD_1618"
"ABCG4","ABCG4","TAD_816"
"ABHD10","ABHD10","TAD_3111"
"ABHD12","ABHD12","TAD_884"
"ABHD16A;MIR4646","ABHD16A;MIR4646","TAD_1082"
"ABHD1;AK074615","ABHD1;AK074615","TAD_2363"
"ABHD3","ABHD3","TAD_1381"
"ABHD4","ABHD4","TAD_625"
"ABHD5","ABHD5","TAD_1962"
"ABHD6","ABHD6","TAD_596"
"ABI2","ABI2","TAD_1108"
"ABI3BP","ABI3BP","TAD_232"
"ABL2","ABL2","TAD_275"
"ABLIM1","ABLIM1","TAD_926"
"ABLIM2","ABLIM2","TAD_2154"
"ABTB2","ABTB2","TAD_2836"
"ACAA1","ACAA1","TAD_14"
"ACAA2","ACAA2","TAD_180"
"ACACA","ACACA","TAD_617"
"ACACB","ACACB","TAD_2747"
"ACAD10","ACAD10","TAD_1662"
"ACAD11;NPHP3-ACAD11","ACAD11;NPHP3-ACAD11","TAD_985"
"ACAD8","ACAD8","TAD_733"
"ACADS","ACADS","TAD_1680"
"ACAP1","ACAP1","TAD_2804"
"ACAT1","ACAT1","TAD_81"
"ACAT2","ACAT2","TAD_1787"
"ACBD3","ACBD3","TAD_2401"
"ACBD5","ACBD5","TAD_2828"
"ACBD6","ACBD6","TAD_2980"
"ACBD7","ACBD7","TAD_93"
"ACCN2","ACCN2","TAD_2839"
"ACCN3","ACCN3","TAD_3120"
"ACCN4","ACCN4","TAD_3622"
"ACD","ACD","TAD_1700"
"ACE","ACE","TAD_1859"
"ACER3","ACER3","TAD_229"
"ACLY","ACLY","TAD_1568"
"ACO2","ACO2","TAD_484"
"ACOT1","ACOT1","TAD_2153"
"ACOT11","ACOT11","TAD_2837"
"ACOT13","ACOT13","TAD_1010"
"ACOT4","ACOT4","TAD_2272"
"ACOT8","ACOT8","TAD_822"
"ACOX1","ACOX1","TAD_2867"
"ACOX2","ACOX2","TAD_1428"
"ACOX3","ACOX3","TAD_485"
"ACP2","ACP2","TAD_1082"
"ACP6","ACP6","TAD_92"
"ACRBP","ACRBP","TAD_1703"
"ACSF3","ACSF3","TAD_676"
"ACSL5","ACSL5","TAD_2568"
"ACSS2","ACSS2","TAD_169"
"ACSS3","ACSS3","TAD_2267"
"ACTA1","ACTA1","TAD_606"
"ACTA2;FAS-AS1","ACTA2;FAS-AS1","TAD_353"
"ACTB","ACTB","TAD_676"
"ACTG2","ACTG2","TAD_1052"
"ACTN3","ACTN3","TAD_130"
"ACTN4","ACTN4","TAD_3437"
"ACTR10","ACTR10","TAD_2009"
"ACTR1A","ACTR1A","TAD_1158"
"ACTR6","ACTR6","TAD_3151"
"ACTR8","ACTR8","TAD_832"
"ACVR2B","ACVR2B","TAD_3478"
"ACYP1","ACYP1","TAD_2681"
"ADA","ADA","TAD_97"
"ADAM1","ADAM1","TAD_229"
"ADAM10","ADAM10","TAD_3484"
"ADAM15","ADAM15","TAD_1140"
"ADAM19;AL049415","ADAM19;AL049415","TAD_1341"
"ADAM20","ADAM20","TAD_1770"
"ADAM22","ADAM22","TAD_812"
"ADAM23","ADAM23","TAD_1059"
"ADAM28","ADAM28","TAD_1668"
"ADAM9","ADAM9","TAD_1936"
"ADAMTS13","ADAMTS13","TAD_2696"
"ADAMTS15","ADAMTS15","TAD_3453"
"ADAMTS8","ADAMTS8","TAD_3430"
"ADAMTSL4","ADAMTSL4","TAD_3688"
"ADAP2","ADAP2","TAD_1800"
"ADAR","ADAR","TAD_2424"
"ADARB1","ADARB1","TAD_79"
"ADAT1","ADAT1","TAD_1428"
"ADCK1","ADCK1","TAD_2150"
"ADCK3","ADCK3","TAD_3307"
"ADCK4","ADCK4","TAD_3644"
"ADCK5","ADCK5","TAD_367"
"ADCY5","ADCY5","TAD_1681"
"ADCY7","ADCY7","TAD_1441"
"ADCY9","ADCY9","TAD_1251"
"ADH1C","ADH1C","TAD_1127"
"ADH6","ADH6","TAD_1442"
"ADI1","ADI1","TAD_2337"
"ADIPOR1","ADIPOR1","TAD_2159"
"ADIPOR2","ADIPOR2","TAD_1103"
"ADM2","ADM2","TAD_569"
"ADNP2","ADNP2","TAD_819"
"ADO","ADO","TAD_1985"
"ADPRHL1","ADPRHL1","TAD_1996"
"ADRA1D","ADRA1D","TAD_3016"
"ADRB1","ADRB1","TAD_485"
"ADRBK1","ADRBK1","TAD_1419"
"ADRM1","ADRM1","TAD_83"
"ADSS","ADSS","TAD_627"
"AEBP1;MIR4649","AEBP1;MIR4649","TAD_2792"
"AEBP2","AEBP2","TAD_14"
"AEN","AEN","TAD_335"
"AES","AES","TAD_676"
"AF007147","AF007147","TAD_1766"
