clone	day	color	metacell	x_proj	y_proj
WZM0071001	3B3	d_33	#F8766D	40	363.886398181936	833.453163856986
WZM0071002	3B3	d_33	#F8766D	30	463.287430931431	571.180541674425
WZM0071003	3B3	d_33	#F8766D	15	108.54753114874	413.103610386768
WZM0071004	3B3	d_33	#F8766D	36	558.591615393921	666.715775061902
WZM0071005	3B3	d_33	#F8766D	15	73.6619542341546	446.491531024921
WZM0071006	3B3	d_33	#F8766D	37	227.154830068249	846.073681217986
WZM0071007	3B3	d_33	#F8766D	36	558.377926371701	662.987806906318
WZM0071008	3B3	d_33	#F8766D	9	396.821875335524	532.431033342113
WZM0071009	3B3	d_33	#F8766D	28	524.914943316413	646.768491777453
WZM0071011	3B3	d_33	#F8766D	32	603.07885709683	620.477093180038
WZM0071012	3B3	d_33	#F8766D	27	441.090258402355	572.954535643445
WZM0071014	3B3	d_33	#F8766D	10	481.801565319739	456.477997264311
WZM0071016	3B3	d_33	#F8766D	27	427.412609486151	595.264775337663
WZM0071017	3B3	d_33	#F8766D	24	536.549995860605	660.207076088037
WZM0071019	3B3	d_33	#F8766D	30	487.202666843001	592.60649386553
WZM0071021	3B3	d_33	#F8766D	39	222.452844328436	755.028647593839
WZM0071025	3B3	d_33	#F8766D	36	549.557127877659	666.700068421937
WZM0071026	3B3	d_33	#F8766D	27	420.191938646879	604.426071307285
WZM0071027	3B3	d_33	#F8766D	43	408.395152717646	724.879255629781
WZM0071028	3B3	d_33	#F8766D	28	435.892832827079	658.744929243726
WZM0071032	3B3	d_33	#F8766D	8	465.168764202816	527.445075554289
WZM0071033	3B3	d_33	#F8766D	27	462.755378379536	610.596978126584
WZM0071034	3B3	d_33	#F8766D	27	394.119746378586	516.068196470443
WZM0071035	3B3	d_33	#F8766D	14	296.199677792202	311.831864539667
WZM0071039	3B3	d_33	#F8766D	27	455.440803059852	594.771618683498
WZM0071041	3B3	d_33	#F8766D	37	265.316438856882	879.052266079713
WZM0071042	3B3	d_33	#F8766D	9	348.824509939324	484.094128748297
WZM0071044	3B3	d_33	#F8766D	25	450.54010850081	662.958675454748
WZM0071046	3B3	d_33	#F8766D	28	477.165170177841	653.390429739614
WZM0071049	3B3	d_33	#F8766D	31	512.989714545892	521.262637998538
WZM0071050	3B3	d_33	#F8766D	16	184.313441313597	396.991161726515
WZM0071051	3B3	d_33	#F8766D	35	594.590728625693	595.249090579459
WZM0071059	3B3	d_33	#F8766D	37	238.297164779089	809.165950972672
WZM0071067	3B3	d_33	#F8766D	36	588.576690329649	644.863476053038
WZM0071082	3B3	d_33	#F8766D	31	523.993175201901	509.863756027402
WZM0071097	3B3	d_33	#F8766D	24	501.537064556755	663.928674497567
WZM0071098	3B3	d_33	#F8766D	30	480.451600687816	600.50761979609
WZM0071099	3B3	d_33	#F8766D	28	395.228246573362	668.654203994377
WZM0071101	3B3	d_33	#F8766D	30	471.809186489352	614.574541789102
WZM0071104	3B3	d_33	#F8766D	28	475.141570521739	623.757634259967
WZM0071105	3B3	d_33	#F8766D	22	116.387089489433	382.723111125724
WZM0071106	3B3	d_33	#F8766D	12	322.047984013521	397.851274648738
WZM0071107	3B3	d_33	#F8766D	27	498.931439341318	596.272810444182
WZM0071109	3B3	d_33	#F8766D	27	513.1294060127	639.324296813247
WZM0071111	3B3	d_33	#F8766D	28	442.64015426802	646.229218454409
WZM0071113	3B3	d_33	#F8766D	28	472.074972608545	573.423477242441
WZM0071114	3B3	d_33	#F8766D	36	621.328755373788	627.178036456779
WZM0071115	3B3	d_33	#F8766D	9	372.53611470235	487.604143098431
WZM0071116	3B3	d_33	#F8766D	28	415.172648746728	658.907429787989
WZM0071119	3B3	d_33	#F8766D	26	258.101587352352	703.6835239647
WZM0071121	3B3	d_33	#F8766D	28	438.931177415145	647.484001937123
WZM0071122	3B3	d_33	#F8766D	15	93.829870007181	492.248183921592
WZM0071127	3B3	d_33	#F8766D	10	496.132763255768	458.340048201078
WZM0071139	3B3	d_33	#F8766D	15	131.423855013924	447.61277179888
WZM0071142	3B3	d_33	#F8766D	27	479.037384004908	595.37628847888
WZM0071146	3B3	d_33	#F8766D	21	161.907711192999	258.584681566145
WZM0071147	3B3	d_33	#F8766D	39	217.30265787547	819.033575267094
WZM0071162	3B3	d_33	#F8766D	27	395.090340213982	540.007384333482
WZM0071170	3B3	d_33	#F8766D	13	305.800626693824	429.987574575054
WZM0071188	3B3	d_33	#F8766D	27	502.748694184657	603.993348434899
WZM0071193	3B3	d_33	#F8766D	36	562.529800226887	595.122823014708
WZM0071194	3B3	d_33	#F8766D	15	88.5614686962668	413.485196741717
WZM0071195	3B3	d_33	#F8766D	28	453.567284859293	652.186355794725
WZM0071198	3B3	d_33	#F8766D	29	570.848447825188	568.686210745936
WZM0071199	3B3	d_33	#F8766D	28	467.182792703908	610.307330358794
WZM0071200	3B3	d_33	#F8766D	27	496.089329025541	606.19787852973
WZM0071201	3B3	d_33	#F8766D	29	583.522119473484	512.276489208824
WZM0071202	3B3	d_33	#F8766D	27	512.476553447769	532.657141736919
WZM0071203	3B3	d_33	#F8766D	27	430.096524897815	604.078758438749
WZM0071204	3B3	d_33	#F8766D	8	450.803353958752	480.189104405505
WZM0071205	3B3	d_33	#F8766D	21	149.768544883554	296.539661115015
WZM0071209	3B3	d_33	#F8766D	43	391.605233458875	799.297525990326
WZM0071210	3B3	d_33	#F8766D	27	471.130981729547	553.741843062931
WZM0071211	3B3	d_33	#F8766D	29	546.631632831949	456.90028500507
WZM0071219	3B3	d_33	#F8766D	15	77.6104551206729	474.682696162174
WZM0071221	3B3	d_33	#F8766D	27	469.575929072302	604.305525416522
WZM0071222	3B3	d_33	#F8766D	39	254.633599166335	766.581240944673
WZM0071223	3B3	d_33	#F8766D	5	279.535685351246	57.7852602328622
WZM0071225	3B3	d_33	#F8766D	27	429.724351808085	596.472566045309
WZM0071226	3B3	d_33	#F8766D	43	452.504238340614	806.625762715527
WZM0071227	3B3	d_33	#F8766D	20	89.2555183972824	372.586085549772
WZM0071234	3B3	d_33	#F8766D	31	570.166297559832	524.890745197696
WZM0071238	3B3	d_33	#F8766D	10	467.411137216786	420.874012688889
WZM0071241	3B3	d_33	#F8766D	29	516.62288169714	458.769792408622
WZM0071242	3B3	d_33	#F8766D	8	402.03652083889	484.458969985236
WZM0071249	3B3	d_33	#F8766D	24	476.029346482513	697.039839502592
WZM0071259	3B3	d_33	#F8766D	8	468.772842414212	513.056002226034
WZM0071283	3B3	d_33	#F8766D	34	626.639210628492	627.311416218199
WZM0071290	3B3	d_33	#F8766D	30	455.792349927646	617.405314710828
WZM0071291	3B3	d_33	#F8766D	27	536.339145685049	598.977001549536
WZM0071292	3B3	d_33	#F8766D	27	471.317784197596	577.544236787654
WZM0071293	3B3	d_33	#F8766D	27	437.191177413437	552.186490314205
WZM0071294	3B3	d_33	#F8766D	28	428.883584023396	653.54895885875
WZM0071297	3B3	d_33	#F8766D	28	440.381480668506	620.520487535421
WZM0071298	3B3	d_33	#F8766D	27	439.231610583349	570.677565552329
WZM0071299	3B3	d_33	#F8766D	28	443.467981574567	595.321087554157
WZM0071300	3B3	d_33	#F8766D	9	331.181440945578	429.184690963542
WZM0071305	3B3	d_33	#F8766D	13	243.127017867784	429.810170159865
WZM0071309	3B3	d_33	#F8766D	42	261.283474253281	786.589689091398
WZM0071313	3B3	d_33	#F8766D	31	481.697181488391	541.335061862255
WZM0071314	3B3	d_33	#F8766D	32	597.501561296713	593.518974261447
WZM0071316	3B3	d_33	#F8766D	14	271.982339324216	379.455325847547
WZM0071319	3B3	d_33	#F8766D	13	280.425087689469	476.647198215532
WZM0071320	3B3	d_33	#F8766D	36	572.931286358548	619.559852788937
WZM0071321	3B3	d_33	#F8766D	27	495.807714708763	573.381899303908
WZM0071322	3B3	d_33	#F8766D	13	298.076015566506	415.801515960526
WZM0071323	3B3	d_33	#F8766D	27	443.084647722558	590.069772510525
WZM0071329	3B3	d_33	#F8766D	24	531.289228389173	636.07348653178
WZM0071337	3B3	d_33	#F8766D	27	475.875558066331	588.21769571843
