mc1	mc2	w
1	WZM0170001	WZM0172057	1.00
2	WZM0170001	WZM0171316	0.99
3	WZM0170001	WZM0172033	0.98
4	WZM0170001	WZM0171301	0.97
5	WZM0170001	WZM0172282	0.96
6	WZM0170001	WZM0171041	0.95
7	WZM0170001	WZM0170211	0.94
8	WZM0170001	WZM0173191	0.93
9	WZM0170001	WZM0172259	0.92
10	WZM0170001	WZM0172174	0.91
11	WZM0170001	WZM0172126	0.90
12	WZM0170001	WZM0171054	0.89
13	WZM0170001	WZM0172060	0.88
14	WZM0170001	WZM0171003	0.87
15	WZM0170001	WZM0171310	0.86
16	WZM0170001	WZM0173320	0.85
17	WZM0170001	WZM0172207	0.84
18	WZM0170001	WZM0171187	0.83
19	WZM0170001	WZM0171145	0.82
20	WZM0170001	WZM0171369	0.81
21	WZM0170001	WZM0171243	0.80
22	WZM0170001	WZM0172143	0.79
23	WZM0170001	WZM0172008	0.78
24	WZM0170001	WZM0173264	0.77
25	WZM0170001	WZM0170305	0.76
26	WZM0170001	WZM0172378	0.75
27	WZM0170001	WZM0173082	0.74
28	WZM0170001	WZM0172281	0.73
29	WZM0170001	WZM0170165	0.72
30	WZM0170001	WZM0171219	0.71
31	WZM0170001	WZM0173185	0.70
32	WZM0170001	WZM0173153	0.69
33	WZM0170001	WZM0173319	0.68
34	WZM0170001	WZM0171085	0.67
35	WZM0170001	WZM0172271	0.66
36	WZM0170001	WZM0170304	0.65
37	WZM0170001	WZM0170383	0.64
38	WZM0170001	WZM0170024	0.63
39	WZM0170001	WZM0171240	0.62
40	WZM0170001	WZM0172132	0.61
41	WZM0170001	WZM0173352	0.60
42	WZM0170001	WZM0172134	0.59
43	WZM0170001	WZM0172029	0.58
44	WZM0170001	WZM0173282	0.57
45	WZM0170001	WZM0170076	0.56
46	WZM0170001	WZM0173301	0.55
47	WZM0170001	WZM0171338	0.54
48	WZM0170001	WZM0172031	0.53
49	WZM0170001	WZM0172196	0.52
50	WZM0170001	WZM0172020	0.51
51	WZM0170001	WZM0173217	0.50
52	WZM0170001	WZM0172097	0.49
53	WZM0170001	WZM0170248	0.48
54	WZM0170001	WZM0171074	0.47
55	WZM0170001	WZM0172153	0.46
56	WZM0170001	WZM0172244	0.45
57	WZM0170001	WZM0172113	0.44
58	WZM0170001	WZM0170249	0.43
59	WZM0170001	WZM0173249	0.42
60	WZM0170001	WZM0170179	0.41
61	WZM0170001	WZM0172078	0.40
62	WZM0170001	WZM0170110	0.39
63	WZM0170001	WZM0171350	0.38
64	WZM0170001	WZM0173309	0.37
65	WZM0170001	WZM0173091	0.36
66	WZM0170001	WZM0172298	0.35
67	WZM0170001	WZM0170149	0.34
