metacell	x_proj	y_proj
WZM0170001	6	104.836075463184	101.141264006169
WZM0170002	9	350.713122206353	275.591397556348
WZM0170003	5	53.1012264215641	326.104717153863
WZM0170004	4	71.5058921747963	357.765246560648
WZM0170005	14	347.990332141184	294.009166377164
WZM0170006	1	117.747995637612	375.530341767788
WZM0170007	6	101.075775791859	158.053295727032
WZM0170008	1	94.3574829656781	369.076758766516
WZM0170009	7	146.047450037805	81.8947372020784
WZM0170011	11	363.911897787471	146.086312099265
WZM0170014	1	120.061316090348	366.963424441284
WZM0170015	13	400.222079757054	107.200460708403
WZM0170016	12	315.385246715708	305.924486195558
WZM0170018	14	339.951335712836	322.193225876115
WZM0170019	11	387.76666825898	125.606876074912
WZM0170020	2	91.1479160564817	402.815240160296
WZM0170021	13	421.009932546407	98.7821173442262
WZM0170022	12	325.881284530616	311.86891158854
WZM0170023	4	82.1885738232237	392.235233074919
WZM0170024	10	337.238496960422	100.427396001917
WZM0170026	13	413.107752559146	108.593518802106
WZM0170027	4	65.534410285331	389.751789379951
WZM0170029	13	398.962249513536	77.6497151288682
WZM0170030	8	214.479211419337	70.1147175392012
WZM0170032	12	320.297029489732	286.146363524192
WZM0170033	9	354.17591905341	216.511392236848
WZM0170034	13	420.323764320096	112.685292314159
WZM0170036	8	225.348388530085	83.9563028394605
WZM0170037	10	287.833599123306	82.9807273397187
WZM0170038	9	330.626949854603	200.097269067039
WZM0170042	3	154.200018782776	390.885539162676
WZM0170044	9	344.202172839118	226.873452148134
WZM0170045	8	197.657522332564	99.5654786851071
WZM0170046	11	374.967955940028	234.481134405601
WZM0170047	10	382.671291837365	115.928012898777
WZM0170048	4	56.7065145620945	404.645943307
WZM0170049	11	403.912265153556	148.010381904727
WZM0170051	7	224.564760281105	50.1281869596996
WZM0170052	8	235.074537860978	100.824369511124
WZM0170053	4	68.3859860369775	374.515343350091
WZM0170054	4	102.723028102679	370.443507266352
WZM0170055	9	348.79961113262	196.43193317295
WZM0170056	13	424.978661585401	114.703600851073
WZM0170057	14	354.698224684806	306.435927942083
WZM0170060	2	126.679852303391	409.207300704086
WZM0170061	7	170.407988975957	95.4194425751767
WZM0170062	4	46.0981496620198	344.409919820306
WZM0170064	8	166.562310574445	91.1580813106769
WZM0170065	11	401.1239663592	209.657375215544
WZM0170067	11	367.124085117539	178.66177888092
WZM0170068	5	52.2245574826405	311.372675867543
WZM0170069	3	261.090829638895	381.994921662865
WZM0170070	3	269.310289830582	369.419253471394
WZM0170071	5	48.3078976602749	281.975278365949
WZM0170072	5	43.8130364040656	312.135302441199
WZM0170073	13	419.297559738107	86.9389072344406
WZM0170074	12	357.658426809138	306.291005317952
WZM0170075	13	419.154419541914	96.6182419847521
WZM0170076	6	126.581750556847	113.820823117635
WZM0170077	13	392.843967490617	100.21502598922
WZM0170078	6	116.770380010661	106.848786267482
WZM0170079	8	172.860223266326	87.9945514507585
WZM0170080	10	296.011208257415	119.528343505152
WZM0170081	11	371.67397048512	211.460584767305
WZM0170082	2	95.9892285714512	390.962626042871
WZM0170083	7	153.981859003229	91.824611021792
WZM0170086	10	372.157056857621	121.314770564055
WZM0170087	10	302.36053297816	93.4857469725919
WZM0170088	6	86.3951809362189	169.673687521552
WZM0170089	12	314.905404029747	298.282290480447
WZM0170090	13	426.015091886945	105.539194386959
WZM0170093	4	71.3110847500494	396.12189038264
WZM0170094	10	340.019553748859	125.728508731796
WZM0170095	14	359.389239606004	293.038863737412
WZM0170098	5	62.2370399417117	295.871931229004
WZM0170099	3	179.766517676561	369.385444370574
WZM0170100	9	342.563762130392	254.736450992455
WZM0170102	10	274.794294065028	111.587600281071
WZM0170103	14	312.080267824385	336.749600339786
WZM0170104	1	120.296335680457	367.896005699179
WZM0170105	7	159.336352255126	75.9958988687113
WZM0170106	7	154.58178693717	47.9042159798679
