"","HCT116","H1299","WI38","HCT116_plot","H1299_plot","WI38_plot"
"CENPE","M","M","M",NA,NA,3
"AURKA","M","M","M",NA,1,1
"KIF23","M","M","M",NA,NA,NA
"ASPM","M","M","M",NA,NA,NA
"PLK1","M","M","M",10,NA,NA
"HMGB2","M","M","M",2,6,19
"CENPF","M","M","M",7,7,NA
"CDCA8","M","M","M",NA,NA,NA
"TACC3","M","M",NA,NA,NA,NA
"KNSTRN","M","M",NA,NA,NA,NA
"ECT2","M","M",NA,NA,NA,NA
"SGOL2","M","M",NA,NA,NA,NA
"HMMR","M","M",NA,NA,NA,NA
"NCAPG","M","M",NA,NA,NA,NA
"CDCA3","M","M",NA,NA,NA,NA
"CENPA","M","M",NA,NA,NA,7
"NUF2","M","M",NA,5,NA,NA
"GTSE1","M","M",NA,6,NA,NA
"BIRC5","M","M",NA,4,NA,NA
"HJURP","M",NA,"M",NA,5,4
"CDC20","M",NA,"M",1,NA,NA
"CCNB1","M",NA,"M",8,NA,17
"KIF14","M",NA,NA,NA,NA,NA
"DLGAP5","M",NA,NA,NA,NA,NA
"ANLN","M",NA,NA,NA,NA,NA
"CASC5","M",NA,NA,NA,NA,NA
"PTTG1","M",NA,NA,3,NA,NA
"H2AFZ","M",NA,NA,NA,17,NA
"MAD2L1","M",NA,NA,NA,NA,NA
"CDCA2","M",NA,NA,NA,NA,NA
"NEK2","M",NA,NA,NA,NA,NA
"CDKN3","M",NA,NA,NA,NA,NA
"AURKB","M",NA,NA,NA,NA,NA
"FAM64A","M",NA,NA,NA,NA,NA
"PBK","M",NA,NA,NA,NA,NA
"GAS2L3","M",NA,NA,NA,NA,NA
"TROAP","M",NA,NA,NA,NA,NA
"NDC80","M",NA,NA,NA,NA,NA
"KIF20B","M",NA,NA,NA,NA,NA
"KIF20A","M",NA,NA,NA,NA,NA
"FAM83D","M",NA,NA,NA,NA,9
"NCAPH","M",NA,NA,NA,NA,NA
"GMNN","S","S","S",NA,NA,NA
"EXO1","S","S","S",NA,NA,NA
"DEK","S","S","S",NA,18,NA
"HIST1H4C","S","S","S",NA,12,10
"ATAD2","S","S","S",NA,19,NA
"CLSPN","S","S","S",15,NA,NA
"GINS2","S","S","S",16,NA,NA
"ESCO2","S","S",NA,NA,NA,NA
"CENPK","S","S",NA,NA,NA,NA
"CENPU","S","S",NA,NA,NA,NA
"CDCA5","S","S",NA,NA,NA,NA
"CHAF1A","S","S",NA,NA,NA,NA
"ORC6","S","S",NA,12,NA,NA
"CDK1","S",NA,"M",13,NA,8
"DUT","S",NA,"S",NA,NA,NA
"DTL","S",NA,"S",NA,NA,NA
"MCM3","S",NA,"S",NA,NA,NA
"MCM10","S",NA,"S",NA,NA,NA
"HELLS","S",NA,"S",NA,NA,NA
"CDC6","S",NA,"S",17,NA,NA
"CKLF","S",NA,NA,NA,NA,NA
"E2F2","S",NA,NA,NA,NA,NA
"RAD54L","S",NA,NA,NA,NA,NA
"E2F1","S",NA,NA,NA,NA,NA
"FANCA","S",NA,NA,NA,NA,NA
