well	ID
A1	a549_clone1A1
B1	a549_clone1A1
C1	a549_clone1B1
D1	a549_clone1B1
E1	a549_clone1C1
F1	a549_clone1C1
G1	a549_clone1D1
H1	a549_clone1D1
I1	a549_clone1E1
J1	a549_clone1E1
K1	a549_clone1F1
L1	a549_clone1F1
M1	a549_clone1G1
N1	a549_clone1G1
O1	a549_clone1H1
P1	a549_clone1H1
A2	a549_clone1A1
B2	a549_clone1A1
C2	a549_clone1B1
D2	a549_clone1B1
E2	a549_clone1C1
F2	a549_clone1C1
G2	a549_clone1D1
H2	a549_clone1D1
I2	a549_clone1E1
J2	a549_clone1E1
K2	a549_clone1F1
L2	a549_clone1F1
M2	a549_clone1G1
N2	a549_clone1G1
O2	a549_clone1H1
P2	a549_clone1H1
A3	a549_clone1A2
B3	a549_clone1A2
C3	a549_clone1B2
D3	a549_clone1B2
E3	a549_clone1C2
F3	a549_clone1C2
G3	a549_clone1D2
H3	a549_clone1D2
I3	a549_clone1E2
J3	a549_clone1E2
K3	a549_clone1F2
L3	a549_clone1F2
M3	a549_clone1G2
N3	a549_clone1G2
O3	a549_clone1H2
P3	a549_clone1H2
A4	a549_clone1A2
B4	a549_clone1A2
C4	a549_clone1B2
D4	a549_clone1B2
E4	a549_clone1C2
F4	a549_clone1C2
G4	a549_clone1D2
H4	a549_clone1D2
I4	a549_clone1E2
J4	a549_clone1E2
K4	a549_clone1F2
L4	a549_clone1F2
M4	a549_clone1G2
N4	a549_clone1G2
O4	a549_clone1H2
P4	a549_clone1H2
A5	a549_clone1A3
B5	a549_clone1A3
C5	a549_clone1B3
D5	a549_clone1B3
E5	a549_clone1C3
F5	a549_clone1C3
G5	a549_clone1D3
H5	a549_clone1D3
I5	a549_clone1E3
J5	a549_clone1E3
K5	a549_clone1F3
L5	a549_clone1F3
M5	a549_clone1G3
N5	a549_clone1G3
O5	a549_clone1H3
P5	a549_clone1H3
A6	a549_clone1A3
B6	a549_clone1A3
C6	a549_clone1B3
D6	a549_clone1B3
E6	a549_clone1C3
F6	a549_clone1C3
G6	a549_clone1D3
H6	a549_clone1D3
I6	a549_clone1E3
J6	a549_clone1E3
K6	a549_clone1F3
L6	a549_clone1F3
M6	a549_clone1G3
N6	a549_clone1G3
O6	a549_clone1H3
P6	a549_clone1H3
A7	a549_clone1A4
B7	a549_clone1A4
C7	a549_clone1B4
D7	a549_clone1B4
E7	a549_clone1C4
F7	a549_clone1C4
G7	a549_clone1D4
H7	a549_clone1D4
I7	a549_clone1E4
J7	a549_clone1E4
K7	a549_clone1F4
L7	a549_clone1F4
M7	a549_clone1G4
N7	a549_clone1G4
O7	a549_clone1H4
P7	a549_clone1H4
A8	a549_clone1A4
B8	a549_clone1A4
C8	a549_clone1B4
D8	a549_clone1B4
E8	a549_clone1C4
F8	a549_clone1C4
G8	a549_clone1D4
H8	a549_clone1D4
I8	a549_clone1E4
J8	a549_clone1E4
K8	a549_clone1F4
L8	a549_clone1F4
M8	a549_clone1G4
N8	a549_clone1G4
O8	a549_clone1H4
P8	a549_clone1H4
A9	a549_clone1A5
B9	a549_clone1A5
C9	a549_clone1B5
D9	a549_clone1B5
E9	a549_clone1C5
F9	a549_clone1C5
G9	a549_clone1D5
H9	a549_clone1D5
I9	a549_clone1E5
J9	a549_clone1E5
K9	a549_clone1F5
L9	a549_clone1F5
M9	a549_clone1G5
N9	a549_clone1G5
O9	a549_clone1H5
P9	a549_clone1H5
A10	a549_clone1A5
B10	a549_clone1A5
C10	a549_clone1B5
D10	a549_clone1B5
E10	a549_clone1C5
F10	a549_clone1C5
G10	a549_clone1D5
H10	a549_clone1D5
I10	a549_clone1E5
J10	a549_clone1E5
K10	a549_clone1F5
L10	a549_clone1F5
M10	a549_clone1G5
N10	a549_clone1G5
O10	a549_clone1H5
P10	a549_clone1H5
A11	a549_clone1A6
B11	a549_clone1A6
C11	a549_clone1B6
D11	a549_clone1B6
E11	a549_clone1C6
F11	a549_clone1C6
G11	a549_clone1D6
H11	a549_clone1D6
I11	a549_clone1E6
J11	a549_clone1E6
K11	a549_clone1F6
L11	a549_clone1F6
M11	a549_clone1G6
N11	a549_clone1G6
O11	a549_clone1H6
P11	a549_clone1H6
A12	a549_clone1A6
B12	a549_clone1A6
C12	a549_clone1B6
D12	a549_clone1B6
E12	a549_clone1C6
F12	a549_clone1C6
G12	a549_clone1D6
H12	a549_clone1D6
I12	a549_clone1E6
J12	a549_clone1E6
K12	a549_clone1F6
L12	a549_clone1F6
M12	a549_clone1G6
N12	a549_clone1G6
O12	a549_clone1H6
P12	a549_clone1H6
A13	a549_clone1A7
B13	a549_clone1A7
C13	a549_clone1B7
D13	a549_clone1B7
E13	a549_clone1C7
F13	a549_clone1C7
G13	a549_clone1D7
H13	a549_clone1D7
I13	a549_clone1E7
J13	a549_clone1E7
K13	a549_clone1F7
L13	a549_clone1F7
M13	a549_clone1G7
N13	a549_clone1G7
O13	a549_clone1H7
P13	a549_clone1H7
A14	a549_clone1A7
B14	a549_clone1A7
C14	a549_clone1B7
D14	a549_clone1B7
E14	a549_clone1C7
F14	a549_clone1C7
G14	a549_clone1D7
H14	a549_clone1D7
I14	a549_clone1E7
J14	a549_clone1E7
K14	a549_clone1F7
L14	a549_clone1F7
M14	a549_clone1G7
N14	a549_clone1G7
O14	a549_clone1H7
P14	a549_clone1H7
A15	a549_clone1A8
B15	a549_clone1A8
C15	a549_clone1B8
D15	a549_clone1B8
E15	a549_clone1C8
F15	a549_clone1C8
G15	a549_clone1D8
H15	a549_clone1D8
I15	a549_clone1E8
J15	a549_clone1E8
K15	a549_clone1F8
L15	a549_clone1F8
M15	a549_clone1G8
N15	a549_clone1G8
O15	a549_clone1H8
P15	a549_clone1H8
A16	a549_clone1A8
B16	a549_clone1A8
C16	a549_clone1B8
D16	a549_clone1B8
E16	a549_clone1C8
F16	a549_clone1C8
G16	a549_clone1D8
H16	a549_clone1D8
I16	a549_clone1E8
J16	a549_clone1E8
K16	a549_clone1F8
L16	a549_clone1F8
M16	a549_clone1G8
N16	a549_clone1G8
O16	a549_clone1H8
P16	a549_clone1H8
A17	a549_clone1A9
B17	a549_clone1A9
C17	a549_clone1B9
D17	a549_clone1B9
E17	a549_clone1C9
F17	a549_clone1C9
G17	a549_clone1D9
H17	a549_clone1D9
I17	a549_clone1E9
J17	a549_clone1E9
K17	a549_clone1F9
L17	a549_clone1F9
M17	a549_clone1G9
N17	a549_clone1G9
O17	a549_clone1H9
P17	a549_clone1H9
A18	a549_clone1A9
B18	a549_clone1A9
C18	a549_clone1B9
D18	a549_clone1B9
E18	a549_clone1C9
F18	a549_clone1C9
G18	a549_clone1D9
H18	a549_clone1D9
I18	a549_clone1E9
J18	a549_clone1E9
K18	a549_clone1F9
L18	a549_clone1F9
M18	a549_clone1G9
N18	a549_clone1G9
O18	a549_clone1H9
P18	a549_clone1H9
A19	a549_clone1A10
B19	a549_clone1A10
C19	a549_clone1B10
D19	a549_clone1B10
E19	a549_clone1C10
F19	a549_clone1C10
G19	a549_clone1D10
H19	a549_clone1D10
I19	a549_clone1E10
J19	a549_clone1E10
K19	a549_clone1F10
L19	a549_clone1F10
M19	a549_clone1G10
N19	a549_clone1G10
O19	a549_clone1H10
P19	a549_clone1H10
A20	a549_clone1A10
B20	a549_clone1A10
C20	a549_clone1B10
D20	a549_clone1B10
E20	a549_clone1C10
F20	a549_clone1C10
G20	a549_clone1D10
H20	a549_clone1D10
I20	a549_clone1E10
J20	a549_clone1E10
K20	a549_clone1F10
L20	a549_clone1F10
M20	a549_clone1G10
N20	a549_clone1G10
O20	a549_clone1H10
P20	a549_clone1H10
A21	a549_clone1A11
B21	a549_clone1A11
C21	a549_clone1B11
D21	a549_clone1B11
E21	a549_clone1C11
F21	a549_clone1C11
G21	a549_clone1D11
H21	a549_clone1D11
I21	a549_clone1E11
J21	a549_clone1E11
K21	a549_clone1F11
L21	a549_clone1F11
M21	a549_clone1G11
N21	a549_clone1G11
O21	a549_clone1H11
P21	a549_clone1H11
A22	a549_clone1A11
B22	a549_clone1A11
C22	a549_clone1B11
D22	a549_clone1B11
E22	a549_clone1C11
F22	a549_clone1C11
G22	a549_clone1D11
H22	a549_clone1D11
I22	a549_clone1E11
J22	a549_clone1E11
K22	a549_clone1F11
L22	a549_clone1F11
M22	a549_clone1G11
N22	a549_clone1G11
O22	a549_clone1H11
P22	a549_clone1H11
A23	a549_clone1A12
B23	a549_clone1A12
C23	a549_clone1B12
D23	a549_clone1B12
E23	a549_clone1C12
F23	a549_clone1C12
G23	a549_clone1D12
H23	a549_clone1D12
I23	a549_clone1E12
J23	a549_clone1E12
K23	a549_clone1F12
L23	a549_clone1F12
M23	a549_clone1G12_empty
N23	a549_clone1G12_empty
O23	a549_clone1H12_empty
P23	a549_clone1H12_empty
A24	a549_clone1A12
B24	a549_clone1A12
C24	a549_clone1B12
D24	a549_clone1B12
E24	a549_clone1C12
F24	a549_clone1C12
G24	a549_clone1D12
H24	a549_clone1D12
I24	a549_clone1E12
J24	a549_clone1E12
K24	a549_clone1F12
L24	a549_clone1F12
M24	a549_clone1G12_empty
N24	a549_clone1G12_empty
O24	a549_clone1H12_empty
P24	a549_clone1H12_empty
