well	ID
A1	cloneDKO263
B1	cloneDKO263
C1	cloneDKO264
D1	cloneDKO264
E1	cloneDKO265
F1	cloneDKO265
G1	cloneDKO266
H1	cloneDKO266
I1	cloneDKO267
J1	cloneDKO267
K1	cloneDKO268
L1	cloneDKO268
M1	cloneDKO269
N1	cloneDKO269
O1	cloneDKO270
P1	cloneDKO270
A2	cloneDKO359
B2	cloneDKO359
C2	cloneDKO360
D2	cloneDKO360
E2	cloneDKO361
F2	cloneDKO361
G2	cloneDKO362
H2	cloneDKO362
I2	cloneDKO363
J2	cloneDKO363
K2	cloneDKO364
L2	cloneDKO364
M2	cloneDKO365
N2	cloneDKO365
O2	cloneDKO366
P2	cloneDKO366
A3	cloneDKO271
B3	cloneDKO271
C3	cloneDKO272
D3	cloneDKO272
E3	cloneDKO273
F3	cloneDKO273
G3	cloneDKO274
H3	cloneDKO274
I3	cloneDKO275
J3	cloneDKO275
K3	cloneDKO276
L3	cloneDKO276
M3	cloneDKO277
N3	cloneDKO277
O3	cloneDKO278
P3	cloneDKO278
A4	cloneDKO367
B4	cloneDKO367
C4	cloneDKO368
D4	cloneDKO368
E4	cloneDKO369
F4	cloneDKO369
G4	cloneDKO370
H4	cloneDKO370
I4	cloneDKO371
J4	cloneDKO371
K4	cloneDKO372
L4	cloneDKO372
M4	cloneDKO373
N4	cloneDKO373
O4	cloneDKO374
P4	cloneDKO374
A5	cloneDKO279
B5	cloneDKO279
C5	cloneDKO280
D5	cloneDKO280
E5	cloneDKO281
F5	cloneDKO281
G5	cloneDKO282
H5	cloneDKO282
I5	cloneDKO283
J5	cloneDKO283
K5	cloneDKO284
L5	cloneDKO284
M5	cloneDKO285
N5	cloneDKO285
O5	cloneDKO286
P5	cloneDKO286
A6	cloneDKO375
B6	cloneDKO375
C6	cloneDKO376
D6	cloneDKO376
E6	cloneDKO377
F6	cloneDKO377
G6	cloneDKO378
H6	cloneDKO378
I6	cloneDKO379
J6	cloneDKO379
K6	cloneDKO380
L6	cloneDKO380
M6	cloneDKO381
N6	cloneDKO381
O6	cloneDKO382
P6	cloneDKO382
A7	cloneDKO287
B7	cloneDKO287
C7	cloneDKO288
D7	cloneDKO288
E7	cloneDKO289
F7	cloneDKO289
G7	cloneDKO290
H7	cloneDKO290
I7	cloneDKO291
J7	cloneDKO291
K7	cloneDKO292
L7	cloneDKO292
M7	cloneDKO293
N7	cloneDKO293
O7	cloneDKO294
P7	cloneDKO294
A8	cloneDKO383
B8	cloneDKO383
C8	cloneDKO384
D8	cloneDKO384
E8	cloneDKO385
F8	cloneDKO385
G8	cloneDKO386
H8	cloneDKO386
I8	cloneDKO387
J8	cloneDKO387
K8	cloneDKO388
L8	cloneDKO388
M8	cloneDKO389
N8	cloneDKO389
O8	cloneDKO390
P8	cloneDKO390
A9	cloneDKO295
B9	cloneDKO295
C9	cloneDKO296
D9	cloneDKO296
E9	cloneDKO297
F9	cloneDKO297
G9	cloneDKO298
H9	cloneDKO298
I9	cloneDKO299
J9	cloneDKO299
K9	cloneDKO300
L9	cloneDKO300
M9	cloneDKO301
N9	cloneDKO301
O9	cloneDKO302
P9	cloneDKO302
A10	cloneDKO391
B10	cloneDKO391
C10	cloneDKO392
D10	cloneDKO392
E10	cloneDKO393
F10	cloneDKO393
G10	cloneDKO394
H10	cloneDKO394
I10	cloneDKO395
J10	cloneDKO395
K10	cloneDKO396
L10	cloneDKO396
M10	cloneDKO397
N10	cloneDKO397
O10	cloneDKO398
P10	cloneDKO398
A11	cloneDKO303
B11	cloneDKO303
C11	cloneDKO304
D11	cloneDKO304
E11	cloneDKO305
F11	cloneDKO305
G11	cloneDKO306
H11	cloneDKO306
I11	cloneDKO307
J11	cloneDKO307
K11	cloneDKO308
L11	cloneDKO308
M11	cloneDKO309
N11	cloneDKO309
O11	cloneDKO310
P11	cloneDKO310
A12	cloneDKO399
B12	cloneDKO399
C12	cloneDKO400
D12	cloneDKO400
E12	cloneDKO401
F12	cloneDKO401
G12	cloneDKO402
H12	cloneDKO402
I12	cloneDKO403
J12	cloneDKO403
K12	cloneDKO404
L12	cloneDKO404
M12	cloneDKO_empty123
N12	cloneDKO_empty123
O12	cloneDKO_empty124
P12	cloneDKO_empty124
A13	cloneDKO311
B13	cloneDKO311
C13	cloneDKO312
D13	cloneDKO312
E13	cloneDKO313
F13	cloneDKO313
G13	cloneDKO314
H13	cloneDKO314
I13	cloneDKO315
J13	cloneDKO315
K13	cloneDKO316
L13	cloneDKO316
M13	cloneDKO317
N13	cloneDKO317
O13	cloneDKO318
P13	cloneDKO318
A14	cloneDKO405
B14	cloneDKO405
C14	cloneDKO406
D14	cloneDKO406
E14	cloneDKO407
F14	cloneDKO407
G14	cloneDKO408
H14	cloneDKO408
I14	cloneDKO409
J14	cloneDKO409
K14	cloneDKO410
L14	cloneDKO410
M14	cloneDKO411
N14	cloneDKO411
O14	cloneDKO412
P14	cloneDKO412
A15	cloneDKO319
B15	cloneDKO319
C15	cloneDKO320
D15	cloneDKO320
E15	cloneDKO321
F15	cloneDKO321
G15	cloneDKO322
H15	cloneDKO322
I15	cloneDKO323
J15	cloneDKO323
K15	cloneDKO324
L15	cloneDKO324
M15	cloneDKO325
N15	cloneDKO325
O15	cloneDKO326
P15	cloneDKO326
A16	cloneDKO413
B16	cloneDKO413
C16	cloneDKO414
D16	cloneDKO414
E16	cloneDKO415
