well	ID
A1	h1299_clone3A1
B1	h1299_clone3A1
C1	h1299_clone3B1
D1	h1299_clone3B1
E1	h1299_clone3C1
F1	h1299_clone3C1
G1	h1299_clone3D1
H1	h1299_clone3D1
I1	h1299_clone3E1
J1	h1299_clone3E1
K1	h1299_clone3F1
L1	h1299_clone3F1
M1	h1299_clone3G1
N1	h1299_clone3G1
O1	h1299_clone3H1
P1	h1299_clone3H1
A2	h1299_clone3A1
B2	h1299_clone3A1
C2	h1299_clone3B1
D2	h1299_clone3B1
E2	h1299_clone3C1
F2	h1299_clone3C1
G2	h1299_clone3D1
H2	h1299_clone3D1
I2	h1299_clone3E1
J2	h1299_clone3E1
K2	h1299_clone3F1
L2	h1299_clone3F1
M2	h1299_clone3G1
N2	h1299_clone3G1
O2	h1299_clone3H1
P2	h1299_clone3H1
A3	h1299_clone3A2
B3	h1299_clone3A2
C3	h1299_clone3B2
D3	h1299_clone3B2
E3	h1299_clone3C2
F3	h1299_clone3C2
G3	h1299_clone3D2
H3	h1299_clone3D2
I3	h1299_clone3E2
J3	h1299_clone3E2
K3	h1299_clone3F2
L3	h1299_clone3F2
M3	h1299_clone3G2
N3	h1299_clone3G2
O3	h1299_clone3H2
P3	h1299_clone3H2
A4	h1299_clone3A2
B4	h1299_clone3A2
C4	h1299_clone3B2
D4	h1299_clone3B2
E4	h1299_clone3C2
F4	h1299_clone3C2
G4	h1299_clone3D2
H4	h1299_clone3D2
I4	h1299_clone3E2
J4	h1299_clone3E2
K4	h1299_clone3F2
L4	h1299_clone3F2
M4	h1299_clone3G2
N4	h1299_clone3G2
O4	h1299_clone3H2
P4	h1299_clone3H2
A5	h1299_clone3A3
B5	h1299_clone3A3
C5	h1299_clone3B3
D5	h1299_clone3B3
E5	h1299_clone3C3
F5	h1299_clone3C3
G5	h1299_clone3D3
H5	h1299_clone3D3
I5	h1299_clone3E3
J5	h1299_clone3E3
K5	h1299_clone3F3
L5	h1299_clone3F3
M5	h1299_clone3G3
N5	h1299_clone3G3
O5	h1299_clone3H3
P5	h1299_clone3H3
A6	h1299_clone3A3
B6	h1299_clone3A3
C6	h1299_clone3B3
D6	h1299_clone3B3
E6	h1299_clone3C3
F6	h1299_clone3C3
G6	h1299_clone3D3
H6	h1299_clone3D3
I6	h1299_clone3E3
J6	h1299_clone3E3
K6	h1299_clone3F3
L6	h1299_clone3F3
M6	h1299_clone3G3
N6	h1299_clone3G3
O6	h1299_clone3H3
P6	h1299_clone3H3
A7	h1299_clone3A4
B7	h1299_clone3A4
C7	h1299_clone3B4
D7	h1299_clone3B4
E7	h1299_clone3C4
F7	h1299_clone3C4
G7	h1299_clone3D4
H7	h1299_clone3D4
I7	h1299_clone3E4
J7	h1299_clone3E4
K7	h1299_clone3F4
L7	h1299_clone3F4
M7	h1299_clone3G4
N7	h1299_clone3G4
O7	h1299_clone3H4
P7	h1299_clone3H4
A8	h1299_clone3A4
B8	h1299_clone3A4
C8	h1299_clone3B4
D8	h1299_clone3B4
E8	h1299_clone3C4
F8	h1299_clone3C4
G8	h1299_clone3D4
H8	h1299_clone3D4
I8	h1299_clone3E4
J8	h1299_clone3E4
K8	h1299_clone3F4
L8	h1299_clone3F4
M8	h1299_clone3G4
N8	h1299_clone3G4
O8	h1299_clone3H4
P8	h1299_clone3H4
A9	h1299_clone3A5
B9	h1299_clone3A5
C9	h1299_clone3B5
D9	h1299_clone3B5
E9	h1299_clone3C5
F9	h1299_clone3C5
G9	h1299_clone3D5
H9	h1299_clone3D5
I9	h1299_clone3E5
J9	h1299_clone3E5
K9	h1299_clone3F5
L9	h1299_clone3F5
M9	h1299_clone3G5
N9	h1299_clone3G5
O9	h1299_clone3H5
P9	h1299_clone3H5
A10	h1299_clone3A5
B10	h1299_clone3A5
C10	h1299_clone3B5
D10	h1299_clone3B5
E10	h1299_clone3C5
F10	h1299_clone3C5
G10	h1299_clone3D5
H10	h1299_clone3D5
I10	h1299_clone3E5
J10	h1299_clone3E5
K10	h1299_clone3F5
L10	h1299_clone3F5
M10	h1299_clone3G5
N10	h1299_clone3G5
O10	h1299_clone3H5
P10	h1299_clone3H5
A11	h1299_clone3A6
B11	h1299_clone3A6
C11	h1299_clone3B6
