well	ID
A1	cloneKO1
B1	cloneKO1
C1	cloneKO2
D1	cloneKO2
E1	cloneKO3
F1	cloneKO3
G1	cloneKO4
H1	cloneKO4
I1	cloneKO5
J1	cloneKO5
K1	cloneKO6
L1	cloneKO6
M1	cloneKO7
N1	cloneKO7
O1	cloneKO8
P1	cloneKO8
A2	cloneKO97
B2	cloneKO97
C2	cloneKO98
D2	cloneKO98
E2	cloneKO99
F2	cloneKO99
G2	cloneKO100
H2	cloneKO100
I2	cloneKO101
J2	cloneKO101
K2	cloneKO102
L2	cloneKO102
M2	cloneKO103
N2	cloneKO103
O2	cloneKO104
P2	cloneKO104
A3	cloneKO9
B3	cloneKO9
C3	cloneKO10
D3	cloneKO10
E3	cloneKO11
F3	cloneKO11
G3	cloneKO12
H3	cloneKO12
I3	cloneKO13
J3	cloneKO13
K3	cloneKO14
L3	cloneKO14
M3	cloneKO15
N3	cloneKO15
O3	cloneKO16
P3	cloneKO16
A4	cloneKO105
B4	cloneKO105
C4	cloneKO106
D4	cloneKO106
E4	cloneKO107
F4	cloneKO107
G4	cloneKO108
H4	cloneKO108
I4	cloneKO109
J4	cloneKO109
K4	cloneKO110
L4	cloneKO110
M4	cloneKO111
N4	cloneKO111
O4	cloneKO112
P4	cloneKO112
A5	cloneKO17
B5	cloneKO17
C5	cloneKO18
D5	cloneKO18
E5	cloneKO19
F5	cloneKO19
G5	cloneKO20
H5	cloneKO20
I5	cloneKO21
J5	cloneKO21
K5	cloneKO22
L5	cloneKO22
M5	cloneKO23
N5	cloneKO23
O5	cloneKO24
P5	cloneKO24
A6	cloneKO113
B6	cloneKO113
C6	cloneKO114
D6	cloneKO114
E6	cloneKO115
F6	cloneKO115
G6	cloneKO116
H6	cloneKO116
I6	cloneKO117
J6	cloneKO117
K6	cloneKO118
L6	cloneKO118
M6	cloneKO119
N6	cloneKO119
O6	cloneKO120
P6	cloneKO120
A7	cloneKO25
B7	cloneKO25
C7	cloneKO26
D7	cloneKO26
E7	cloneKO27
F7	cloneKO27
G7	cloneKO28
H7	cloneKO28
I7	cloneKO29
J7	cloneKO29
K7	cloneKO30
L7	cloneKO30
M7	cloneKO31
N7	cloneKO31
O7	cloneKO32
P7	cloneKO32
A8	cloneKO121
B8	cloneKO121
C8	cloneKO122
D8	cloneKO122
E8	cloneKO123
F8	cloneKO123
G8	cloneKO124
H8	cloneKO124
I8	cloneKO125
J8	cloneKO125
K8	cloneKO126
L8	cloneKO126
M8	cloneKO127
N8	cloneKO127
O8	cloneKO128
P8	cloneKO128
A9	cloneKO33
B9	cloneKO33
C9	cloneKO34
D9	cloneKO34
E9	cloneKO35
F9	cloneKO35
G9	cloneKO36
H9	cloneKO36
I9	cloneKO37
J9	cloneKO37
K9	cloneKO38
L9	cloneKO38
M9	cloneKO39
N9	cloneKO39
O9	cloneKO40
P9	cloneKO40
A10	cloneKO129
B10	cloneKO129
C10	cloneKO130
D10	cloneKO130
E10	cloneKO131
F10	cloneKO131
G10	cloneKO132
H10	cloneKO132
I10	cloneKO133
J10	cloneKO133
K10	cloneKO134
L10	cloneKO134
M10	cloneKO135
N10	cloneKO135
O10	cloneKO136
P10	cloneKO136
A11	cloneKO41
B11	cloneKO41
C11	cloneKO42
D11	cloneKO42
E11	cloneKO43
F11	cloneKO43
G11	cloneKO44
H11	cloneKO44
I11	cloneKO45
J11	cloneKO45
K11	cloneKO46
L11	cloneKO46
M11	cloneKO47
N11	cloneKO47
O11	cloneKO48
P11	cloneKO48
A12	cloneKO137
B12	cloneKO137
C12	cloneKO138
D12	cloneKO138
E12	cloneKO139
F12	cloneKO139
G12	cloneKO140
H12	cloneKO140
I12	cloneKO141
J12	cloneKO141
K12	cloneKO142
L12	cloneKO142
M12	cloneKO143
N12	cloneKO143
O12	cloneKO144
P12	cloneKO144
A13	cloneKO49
B13	cloneKO49
C13	cloneKO50
D13	cloneKO50
E13	cloneKO51
F13	cloneKO51
G13	cloneKO52
H13	cloneKO52
I13	cloneKO53
J13	cloneKO53
K13	cloneKO54
L13	cloneKO54
M13	cloneKO55
N13	cloneKO55
O13	cloneKO56
P13	cloneKO56
A14	cloneKO145
B14	cloneKO145
C14	cloneKO146
D14	cloneKO146
E14	cloneKO147
F14	cloneKO147
G14	cloneKO148
H14	cloneKO148
I14	cloneKO149
J14	cloneKO149
K14	cloneKO150
L14	cloneKO150
M14	cloneKO151
N14	cloneKO151
O14	cloneKO152
P14	cloneKO152
A15	cloneKO57
B15	cloneKO57
C15	cloneKO58
D15	cloneKO58
E15	cloneKO59
F15	cloneKO59
G15	cloneKO60
H15	cloneKO60
I15	cloneKO61
J15	cloneKO61
K15	cloneKO62
L15	cloneKO62
M15	cloneKO63
N15	cloneKO63
O15	cloneKO64
P15	cloneKO64
A16	cloneKO153
B16	cloneKO153
C16	cloneKO154
D16	cloneKO154
E16	cloneKO155
F16	cloneKO155
G16	cloneKO156
H16	cloneKO156
I16	cloneKO157
J16	cloneKO157
K16	cloneKO158
L16	cloneKO158
M16	cloneKO159
N16	cloneKO159
O16	cloneKO160
P16	cloneKO160
A17	cloneKO65
B17	cloneKO65
C17	cloneKO66
D17	cloneKO66
E17	cloneKO67
F17	cloneKO67
G17	cloneKO68
H17	cloneKO68
I17	cloneKO69
J17	cloneKO69
K17	cloneKO70
L17	cloneKO70
M17	cloneKO71
N17	cloneKO71
O17	cloneKO72
P17	cloneKO72
A18	cloneKO161
B18	cloneKO161
C18	cloneKO162
D18	cloneKO162
E18	cloneKO163
F18	cloneKO163
G18	cloneKO164
H18	cloneKO164
I18	cloneKO165
J18	cloneKO165
K18	cloneKO166
L18	cloneKO166
M18	cloneKO167
N18	cloneKO167
O18	cloneKO168
P18	cloneKO168
A19	cloneKO73
B19	cloneKO73
C19	cloneKO74
D19	cloneKO74
E19	cloneKO75
F19	cloneKO75
G19	cloneKO76
H19	cloneKO76
I19	cloneKO77
J19	cloneKO77
K19	cloneKO78
L19	cloneKO78
M19	cloneKO79
N19	cloneKO79
O19	cloneKO80
P19	cloneKO80
A20	cloneKO169
B20	cloneKO169
C20	cloneKO170
D20	cloneKO170
E20	cloneKO171
F20	cloneKO171
G20	cloneKO172
H20	cloneKO172
I20	cloneKO173
J20	cloneKO173
K20	cloneKO174
L20	cloneKO174
M20	cloneKO175
N20	cloneKO175
O20	cloneKO176
P20	cloneKO176
A21	cloneKO81
B21	cloneKO81
C21	cloneKO82
D21	cloneKO82
E21	cloneKO83
F21	cloneKO83
G21	cloneKO84
H21	cloneKO84
I21	cloneKO85
J21	cloneKO85
K21	cloneKO86
L21	cloneKO86
M21	cloneKO87
N21	cloneKO87
O21	cloneKO88
P21	cloneKO88
A22	cloneKO177
B22	cloneKO177
C22	cloneKO178
D22	cloneKO178
E22	cloneKO179
F22	cloneKO179
G22	cloneKO180
H22	cloneKO180
I22	cloneKO181
J22	cloneKO181
K22	cloneKO182
L22	cloneKO182
M22	cloneKO183
N22	cloneKO183
O22	cloneKO184
P22	cloneKO184
A23	cloneKO89
B23	cloneKO89
C23	cloneKO90
D23	cloneKO90
E23	cloneKO91
F23	cloneKO91
G23	cloneKO92
H23	cloneKO92
I23	cloneKO93
J23	cloneKO93
K23	cloneKO94
L23	cloneKO94
M23	cloneKO95
N23	cloneKO95
O23	cloneKO96
P23	cloneKO96
A24	cloneKO185
B24	cloneKO185
C24	cloneKO186
D24	cloneKO186
E24	cloneKO187
F24	cloneKO187
G24	cloneKO188
H24	cloneKO188
I24	cloneKO189
J24	cloneKO189
K24	cloneKO190
L24	cloneKO190
M24	cloneKO191
N24	cloneKO191
O24	cloneKO192
P24	cloneKO192
