well	ID
A1	WI38_clone57
B1	WI38_clone57
C1	WI38_clone58
D1	WI38_clone58
E1	WI38_clone59
F1	WI38_clone59
G1	WI38_clone60
H1	WI38_clone60
I1	WI38_clone61
J1	WI38_clone61
K1	WI38_clone62
L1	WI38_clone62
M1	WI38_clone63
N1	WI38_clone63
O1	WI38_clone64
P1	WI38_clone64
A2	WI38_clone57
B2	WI38_clone57
C2	WI38_clone58
D2	WI38_clone58
E2	WI38_clone59
F2	WI38_clone59
G2	WI38_clone60
H2	WI38_clone60
I2	WI38_clone61
J2	WI38_clone61
K2	WI38_clone62
L2	WI38_clone62
M2	WI38_clone63
N2	WI38_clone63
O2	WI38_clone64
P2	WI38_clone64
A3	WI38_clone57
B3	WI38_clone57
C3	WI38_clone58
D3	WI38_clone58
E3	WI38_clone59
F3	WI38_clone59
G3	WI38_clone60
H3	WI38_clone60
I3	WI38_clone61
J3	WI38_clone61
K3	WI38_clone62
L3	WI38_clone62
M3	WI38_clone63
N3	WI38_clone63
O3	WI38_clone64
P3	WI38_clone64
A4	WI38_clone65
B4	WI38_clone65
C4	WI38_clone66
D4	WI38_clone66
E4	WI38_clone67
F4	WI38_clone67
G4	WI38_clone68
H4	WI38_clone68
I4	WI38_clone69
J4	WI38_clone69
K4	WI38_clone70
L4	WI38_clone70
M4	WI38_clone71
N4	WI38_clone71
O4	WI38_clone72
P4	WI38_clone72
A5	WI38_clone65
B5	WI38_clone65
C5	WI38_clone66
D5	WI38_clone66
E5	WI38_clone67
F5	WI38_clone67
G5	WI38_clone68
H5	WI38_clone68
I5	WI38_clone69
J5	WI38_clone69
K5	WI38_clone70
L5	WI38_clone70
M5	WI38_clone71
N5	WI38_clone71
O5	WI38_clone72
P5	WI38_clone72
A6	WI38_clone65
B6	WI38_clone65
C6	WI38_clone66
D6	WI38_clone66
E6	WI38_clone67
F6	WI38_clone67
G6	WI38_clone68
H6	WI38_clone68
I6	WI38_clone69
J6	WI38_clone69
K6	WI38_clone70
L6	WI38_clone70
M6	WI38_clone71
N6	WI38_clone71
O6	WI38_clone72
P6	WI38_clone72
A7	WI38_clone73
B7	WI38_clone73
C7	WI38_clone74
D7	WI38_clone74
E7	WI38_clone75
F7	WI38_clone75
G7	WI38_clone76
H7	WI38_clone76
I7	WI38_clone77
J7	WI38_clone77
K7	WI38_clone78
L7	WI38_clone78
M7	WI38_clone79
N7	WI38_clone79
O7	WI38_clone80
P7	WI38_clone80
A8	WI38_clone73
B8	WI38_clone73
C8	WI38_clone74
D8	WI38_clone74
E8	WI38_clone75
F8	WI38_clone75
G8	WI38_clone76
H8	WI38_clone76
I8	WI38_clone77
J8	WI38_clone77
K8	WI38_clone78
L8	WI38_clone78
M8	WI38_clone79
N8	WI38_clone79
O8	WI38_clone80
P8	WI38_clone80
A9	WI38_clone73
B9	WI38_clone73
C9	WI38_clone74
D9	WI38_clone74
E9	WI38_clone75
F9	WI38_clone75
G9	WI38_clone76
H9	WI38_clone76
I9	WI38_clone77
J9	WI38_clone77
K9	WI38_clone78
L9	WI38_clone78
M9	WI38_clone79
N9	WI38_clone79
O9	WI38_clone80
P9	WI38_clone80
A10	WI38_clone81
B10	WI38_clone81
C10	WI38_clone82
D10	WI38_clone82
E10	WI38_clone83
F10	WI38_clone83
G10	WI38_clone84
H10	WI38_clone84
I10	WI38_clone85
J10	WI38_clone85
K10	WI38_clone86
L10	WI38_clone86
M10	WI38_clone87
N10	WI38_clone87
O10	WI38_clone88
P10	WI38_clone88
A11	WI38_clone81
B11	WI38_clone81
C11	WI38_clone82
D11	WI38_clone82
E11	WI38_clone83
F11	WI38_clone83
G11	WI38_clone84
H11	WI38_clone84
I11	WI38_clone85
J11	WI38_clone85
K11	WI38_clone86
L11	WI38_clone86
M11	WI38_clone87
N11	WI38_clone87
O11	WI38_clone88
P11	WI38_clone88
A12	WI38_clone81
B12	WI38_clone81
C12	WI38_clone82
D12	WI38_clone82
E12	WI38_clone83
F12	WI38_clone83
G12	WI38_clone84
H12	WI38_clone84
I12	WI38_clone85
J12	WI38_clone85
K12	WI38_clone86
L12	WI38_clone86
M12	WI38_clone87
N12	WI38_clone87
O12	WI38_clone88
P12	WI38_clone88
A13	WI38_clone89
B13	WI38_clone89
C13	WI38_clone90
D13	WI38_clone90
E13	WI38_clone91
F13	WI38_clone91
G13	WI38_clone92
H13	WI38_clone92
I13	WI38_clone93
J13	WI38_clone93
K13	WI38_clone94
L13	WI38_clone94
M13	WI38_clone95
N13	WI38_clone95
O13	WI38_clone96
P13	WI38_clone96
A14	WI38_clone89
B14	WI38_clone89
C14	WI38_clone90
D14	WI38_clone90
E14	WI38_clone91
F14	WI38_clone91
G14	WI38_clone92
H14	WI38_clone92
I14	WI38_clone93
J14	WI38_clone93
K14	WI38_clone94
L14	WI38_clone94
M14	WI38_clone95
N14	WI38_clone95
O14	WI38_clone96
P14	WI38_clone96
A15	WI38_clone89
B15	WI38_clone89
C15	WI38_clone90
D15	WI38_clone90
E15	WI38_clone91
F15	WI38_clone91
G15	WI38_clone92
H15	WI38_clone92
I15	WI38_clone93
J15	WI38_clone93
K15	WI38_clone94
L15	WI38_clone94
M15	WI38_clone95
N15	WI38_clone95
O15	WI38_clone96
P15	WI38_clone96
A16	WI38_clone97
B16	WI38_clone97
C16	WI38_clone98
D16	WI38_clone98
E16	WI38_clone99
F16	WI38_clone99
G16	WI38_clone100
H16	WI38_clone100
I16	WI38_clone101
J16	WI38_clone101
K16	WI38_clone102
L16	WI38_clone102
M16	WI38_clone103
N16	WI38_clone103
O16	WI38_clone104
P16	WI38_clone104
A17	WI38_clone97
B17	WI38_clone97
C17	WI38_clone98
D17	WI38_clone98
E17	WI38_clone99
F17	WI38_clone99
G17	WI38_clone100
H17	WI38_clone100
I17	WI38_clone101
J17	WI38_clone101
K17	WI38_clone102
L17	WI38_clone102
M17	WI38_clone103
N17	WI38_clone103
O17	WI38_clone104
P17	WI38_clone104
A18	WI38_clone97
B18	WI38_clone97
C18	WI38_clone98
D18	WI38_clone98
E18	WI38_clone99
F18	WI38_clone99
G18	WI38_clone100
H18	WI38_clone100
I18	WI38_clone101
J18	WI38_clone101
K18	WI38_clone102
L18	WI38_clone102
M18	WI38_clone103
N18	WI38_clone103
O18	WI38_clone104
P18	WI38_clone104
A19	WI38_clone105
B19	WI38_clone105
C19	WI38_clone106
D19	WI38_clone106
E19	WI38_clone107
F19	WI38_clone107
G19	WI38_clone108
H19	WI38_clone108
I19	WI38_clone109
J19	WI38_clone109
K19	WI38_clone110
L19	WI38_clone110
M19	WI38_clone111
N19	WI38_clone111
O19	WI38_clone112
P19	WI38_clone112
A20	WI38_clone105
B20	WI38_clone105
C20	WI38_clone106
D20	WI38_clone106
E20	WI38_clone107
F20	WI38_clone107
G20	WI38_clone108
H20	WI38_clone108
I20	WI38_clone109
J20	WI38_clone109
K20	WI38_clone110
L20	WI38_clone110
M20	WI38_clone111
N20	WI38_clone111
O20	WI38_clone112
P20	WI38_clone112
A21	WI38_clone105
B21	WI38_clone105
C21	WI38_clone106
D21	WI38_clone106
E21	WI38_clone107
F21	WI38_clone107
G21	WI38_clone108
H21	WI38_clone108
I21	WI38_clone109
J21	WI38_clone109
K21	WI38_clone110
L21	WI38_clone110
M21	WI38_clone111
N21	WI38_clone111
O21	WI38_clone112
P21	WI38_clone112
A22	WI38_clone_empty9
B22	WI38_clone_empty9
C22	WI38_clone_empty10
D22	WI38_clone_empty10
E22	WI38_clone_empty11
F22	WI38_clone_empty11
G22	WI38_clone_empty12
H22	WI38_clone_empty12
I22	WI38_clone_empty13
J22	WI38_clone_empty13
K22	WI38_clone_empty14
L22	WI38_clone_empty14
M22	WI38_clone_empty15
N22	WI38_clone_empty15
O22	WI38_clone_empty16
P22	WI38_clone_empty16
A23	WI38_clone_empty9
B23	WI38_clone_empty9
C23	WI38_clone_empty10
D23	WI38_clone_empty10
E23	WI38_clone_empty11
F23	WI38_clone_empty11
G23	WI38_clone_empty12
H23	WI38_clone_empty12
I23	WI38_clone_empty13
J23	WI38_clone_empty13
K23	WI38_clone_empty14
L23	WI38_clone_empty14
M23	WI38_clone_empty15
N23	WI38_clone_empty15
O23	WI38_clone_empty16
P23	WI38_clone_empty16
A24	WI38_clone_empty9
B24	WI38_clone_empty9
C24	WI38_clone_empty10
D24	WI38_clone_empty10
E24	WI38_clone_empty11
F24	WI38_clone_empty11
G24	WI38_clone_empty12
H24	WI38_clone_empty12
I24	WI38_clone_empty13
J24	WI38_clone_empty13
K24	WI38_clone_empty14
L24	WI38_clone_empty14
M24	WI38_clone_empty15
N24	WI38_clone_empty15
O24	WI38_clone_empty16
P24	WI38_clone_empty16
