well	ID
A1	clone193
B1	clone193
C1	clone194
D1	clone194
E1	clone195
F1	clone195
G1	clone196
H1	clone196
I1	clone197
J1	clone197
K1	clone198
L1	clone198
M1	clone199
N1	clone199
O1	clone200
P1	clone200
A2	clone289
B2	clone289
C2	clone290
D2	clone290
E2	clone291
F2	clone291
G2	clone292
H2	clone292
I2	clone293
J2	clone293
K2	clone294
L2	clone294
M2	clone295
N2	clone295
O2	clone296
P2	clone296
A3	clone201
B3	clone201
C3	clone202
D3	clone202
E3	clone203
F3	clone203
G3	clone204
H3	clone204
I3	clone205
J3	clone205
K3	clone206
L3	clone206
M3	clone207
N3	clone207
O3	clone208
P3	clone208
A4	clone297
B4	clone297
C4	clone298
D4	clone298
E4	clone299
F4	clone299
G4	clone300
H4	clone300
I4	clone301
J4	clone301
K4	clone302
L4	clone302
M4	clone303
N4	clone303
O4	clone304
P4	clone304
A5	clone209
B5	clone209
C5	clone210
D5	clone210
E5	clone211
F5	clone211
G5	clone212
H5	clone212
I5	clone213
J5	clone213
K5	clone214
L5	clone214
M5	clone215
N5	clone215
O5	clone216
P5	clone216
A6	clone305
B6	clone305
C6	clone306
D6	clone306
E6	clone307
F6	clone307
G6	clone308
H6	clone308
I6	clone309
J6	clone309
K6	clone310
L6	clone310
M6	clone311
N6	clone311
O6	clone312
P6	clone312
A7	clone217
B7	clone217
C7	clone218
D7	clone218
E7	clone219
F7	clone219
G7	clone220
H7	clone220
I7	clone221
J7	clone221
K7	clone222
L7	clone222
M7	clone223
N7	clone223
O7	clone224
P7	clone224
A8	clone313
B8	clone313
C8	clone314
D8	clone314
E8	clone315
F8	clone315
G8	clone316
H8	clone316
I8	clone317
J8	clone317
K8	clone318
L8	clone318
M8	clone319
N8	clone319
O8	clone320
P8	clone320
A9	clone225
B9	clone225
C9	clone226
D9	clone226
E9	clone227
F9	clone227
G9	clone228
H9	clone228
I9	clone229
J9	clone229
K9	clone230
L9	clone230
M9	clone231
N9	clone231
O9	clone232
P9	clone232
A10	clone321
B10	clone321
C10	clone322
D10	clone322
E10	clone323
F10	clone323
G10	clone324
H10	clone324
I10	clone325
J10	clone325
K10	clone326
L10	clone326
M10	clone327
N10	clone327
O10	clone328
P10	clone328
A11	clone233
B11	clone233
C11	clone234
D11	clone234
E11	clone235
F11	clone235
G11	clone236
H11	clone236
I11	clone237
J11	clone237
K11	clone238
L11	clone238
M11	clone239
N11	clone239
O11	clone240
P11	clone240
A12	clone329
B12	clone329
C12	clone330
D12	clone330
E12	clone331
F12	clone331
G12	clone332
H12	clone332
I12	clone333
J12	clone333
K12	clone334
L12	clone334
M12	clone335
N12	clone335
O12	clone336
P12	clone336
A13	clone241
B13	clone241
C13	clone242
D13	clone242
E13	clone243
F13	clone243
G13	clone244
H13	clone244
I13	clone245
J13	clone245
K13	clone246
L13	clone246
M13	clone247
N13	clone247
O13	clone248
P13	clone248
A14	clone337
B14	clone337
C14	clone338
D14	clone338
E14	clone339
F14	clone339
G14	clone340
H14	clone340
I14	clone341
J14	clone341
K14	clone342
L14	clone342
M14	clone343
N14	clone343
O14	clone344
P14	clone344
A15	clone249
B15	clone249
C15	clone250
D15	clone250
E15	clone251
F15	clone251
G15	clone252
H15	clone252
I15	clone253
J15	clone253
K15	clone254
L15	clone254
M15	clone255
N15	clone255
O15	clone256
P15	clone256
A16	clone345
B16	clone345
C16	clone346
D16	clone346
E16	clone347
F16	clone347
G16	clone348
H16	clone348
I16	clone349
J16	clone349
K16	clone350
L16	clone350
M16	clone351
N16	clone351
O16	clone352
P16	clone352
A17	clone257
B17	clone257
C17	clone258
D17	clone258
E17	clone259
F17	clone259
G17	clone260
H17	clone260
I17	clone261
J17	clone261
K17	clone262
L17	clone262
M17	clone263
N17	clone263
O17	clone264
P17	clone264
A18	clone353
B18	clone353
C18	clone354
D18	clone354
E18	clone355
F18	clone355
G18	clone356
H18	clone356
I18	clone357
J18	clone357
K18	clone358
L18	clone358
M18	clone359
N18	clone359
O18	clone360
P18	clone360
A19	clone265
B19	clone265
C19	clone266
D19	clone266
E19	clone267
F19	clone267
G19	clone268
H19	clone268
I19	clone269
J19	clone269
K19	clone270
L19	clone270
M19	clone271
N19	clone271
O19	clone272
P19	clone272
A20	clone361
B20	clone361
C20	clone362
D20	clone362
E20	clone363
F20	clone363
G20	clone364
H20	clone364
I20	clone365
J20	clone365
K20	clone366
L20	clone366
M20	clone367
N20	clone367
O20	clone368
P20	clone368
A21	clone273
B21	clone273
C21	clone274
D21	clone274
E21	clone275
F21	clone275
G21	clone276
H21	clone276
I21	clone277
J21	clone277
K21	clone278
L21	clone278
M21	clone279
N21	clone279
O21	clone280
P21	clone280
A22	clone369
B22	clone369
C22	clone370
D22	clone370
E22	clone371
F22	clone371
G22	clone372
H22	clone372
I22	clone373
J22	clone373
K22	clone374
L22	clone374
M22	clone375
N22	clone375
O22	clone376
P22	clone376
A23	clone281
B23	clone281
C23	clone282
D23	clone282
E23	clone283
F23	clone283
G23	clone284
H23	clone284
I23	clone285
J23	clone285
K23	clone286
L23	clone286
M23	clone287
N23	clone287
O23	clone288
P23	clone288
A24	clone377
B24	clone377
C24	clone378
D24	clone378
E24	clone379
F24	clone379
G24	clone380
H24	clone380
I24	clone381
J24	clone381
K24	clone382
L24	clone382
M24	clone383
N24	clone383
O24	clone384
P24	clone384
