well	ID
A1	lt1_1a1
B1	lt1_1b1
C1	lt1_1c1
D1	lt1_1d1
E1	lt1_1e1
F1	lt1_1f1
G1	lt1_1g1
H1	lt1_1h1
I1	lt1_3a1
J1	lt1_3b1
K1	lt1_3c1
L1	lt1_3d1
M1	lt1_3e1
N1	lt1_3f1
O1	lt1_3g1
P1	lt1_3h1
A2	lt1_1a2
B2	lt1_1b2
C2	lt1_1c2
D2	lt1_1d2
E2	lt1_1e2
F2	lt1_1f2
G2	lt1_1g2
H2	lt1_1h2
I2	lt1_3a2
J2	lt1_3b2_empty
K2	lt1_3c2
L2	lt1_3d2
M2	lt1_3e2
N2	lt1_3f2
O2	lt1_3g2
P2	lt1_3h2
A3	lt1_1a3
B3	lt1_1b3
C3	lt1_1c3
D3	lt1_1d3
E3	lt1_1e3
F3	lt1_1f3
G3	lt1_1g3
H3	lt1_1h3
I3	lt1_3a3
J3	lt1_3b3
K3	lt1_3c3
L3	lt1_3d3
M3	lt1_3e3
N3	lt1_3f3
O3	lt1_3g3
P3	lt1_3h3
A4	lt1_1a4
B4	lt1_1b4
C4	lt1_1c4
D4	lt1_1d4
E4	lt1_1e4
F4	lt1_1f4
G4	lt1_1g4
H4	lt1_1h4
I4	lt1_3a4
J4	lt1_3b4
K4	lt1_3c4
L4	lt1_3d4
M4	lt1_3e4
N4	lt1_3f4
O4	lt1_3g4
P4	lt1_3h4
A5	lt1_1a5
B5	lt1_1b5
C5	lt1_1c5
D5	lt1_1d5
E5	lt1_1e5
F5	lt1_1f5
G5	lt1_1g5
H5	lt1_1h5
I5	lt1_3a5
J5	lt1_3b5
K5	lt1_3c5
L5	lt1_3d5
M5	lt1_3e5
N5	lt1_3f5
O5	lt1_3g5
P5	lt1_3h5
A6	lt1_1a6
B6	lt1_1b6
C6	lt1_1c6
D6	lt1_1d6
E6	lt1_1e6
F6	lt1_1f6
G6	lt1_1g6
H6	lt1_1h6
I6	lt1_3a6_empty
J6	lt1_3b6
K6	lt1_3c6
L6	lt1_3d6
M6	lt1_3e6
N6	lt1_3f6
O6	lt1_3g6
P6	lt1_3h6
A7	lt1_1a7
B7	lt1_1b7
C7	lt1_1c7
D7	lt1_1d7
E7	lt1_1e7
F7	lt1_1f7
G7	lt1_1g7
H7	lt1_1h7_empty
I7	lt1_3a7
J7	lt1_3b7
K7	lt1_3c7_empty
L7	lt1_3d7
M7	lt1_3e7
N7	lt1_3f7_empty
O7	lt1_3g7
P7	lt1_3h7
A8	lt1_1a8
B8	lt1_1b8
C8	lt1_1c8
D8	lt1_1d8
E8	lt1_1e8
F8	lt1_1f8
G8	lt1_1g8
H8	lt1_1h8
I8	lt1_3a8
J8	lt1_3b8
K8	lt1_3c8
L8	lt1_3d8
M8	lt1_3e8
N8	lt1_3f8
O8	lt1_3g8
P8	lt1_3h8
A9	lt1_1a9
B9	lt1_1b9
C9	lt1_1c9
D9	lt1_1d9
E9	lt1_1e9
F9	lt1_1f9
G9	lt1_1g9
H9	lt1_1h9
I9	lt1_3a9
J9	lt1_3b9
K9	lt1_3c9
L9	lt1_3d9
M9	lt1_3e9
N9	lt1_3f9
O9	lt1_3g9
P9	lt1_3h9
A10	lt1_1a10
B10	lt1_1b10
C10	lt1_1c10
D10	lt1_1d10
E10	lt1_1e10
F10	lt1_1f10
G10	lt1_1g10
H10	lt1_1h10
I10	lt1_3a10
J10	lt1_3b10
K10	lt1_3c10
L10	lt1_3d10
M10	lt1_3e10
N10	lt1_3f10
O10	lt1_3g10
P10	lt1_3h10
A11	lt1_1a11
B11	lt1_1b11
C11	lt1_1c11
D11	lt1_1d11
E11	lt1_1e11
F11	lt1_1f11
G11	lt1_1g11
H11	lt1_1h11
I11	lt1_3a11
J11	lt1_3b11
K11	lt1_3c11
