,UMIs,wg_meth,onTarget_meth,percent_onTarget,background_avgMethylation,VIM_state,Epithelial_bin,B_globin_group
clone1,45168,830202,471269,56.77,0.78,Normal,7,NA
clone10,93629,1457683,906139,62.16,0.76,Normal,4,NA
clone100,19265,407805,233970,57.37,0.77,Normal,7,NA
clone101,72352,722648,414963,57.42,0.79,Normal,3,NA
clone102,58002,415036,239510,57.71,0.75,Normal,6,NA
clone106,224339,1873445,1162555,62.05,0.77,Normal,4,High
clone107,86892,752287,442002,58.75,0.77,Normal,7,NA
clone108,261356,814417,509047,62.50,0.75,Normal,7,High
clone11,108149,960174,603593,62.86,0.77,Normal,2,NA
clone110,137697,1083079,668378,61.71,0.76,Normal,7,NA
clone111,140249,695599,429833,61.79,0.77,Normal,6,High
clone112,77226,732689,456344,62.28,0.79,Normal,3,NA
clone113,336741,1933241,1195276,61.83,0.76,Normal,6,High
clone115,101748,589916,306643,51.98,0.75,Normal,7,High
clone116,58214,574042,298822,52.06,0.77,Normal,6,NA
clone117,143580,508729,263675,51.83,0.78,Normal,6,NA
clone118,116946,1200225,719108,59.91,0.77,Normal,8,NA
clone119,76437,540175,298044,55.18,0.76,Normal,6,NA
clone12,144671,863520,520736,60.30,0.76,Normal,10,NA
clone120,16792,338688,172319,50.88,0.74,Normal,5,NA
clone130,41447,759295,420554,55.39,0.75,Normal,7,NA
clone132,188154,1210518,704085,58.16,0.75,Normal,4,Low
clone134,24889,279425,107972,38.64,0.76,Normal,3,NA
clone138,44949,1328395,707760,53.28,0.77,Normal,7,NA
clone139,81110,515581,280822,54.47,0.76,Normal,10,NA
clone14,12370,947005,542579,57.29,0.77,Normal,1,NA
clone140,56718,473704,215623,45.52,0.75,Normal,2,NA
clone142,279008,859072,466630,54.32,0.75,Normal,2,High
clone143,34442,298296,118018,39.56,0.75,Normal,2,NA
clone144,50033,624091,314643,50.42,0.77,Normal,3,NA
clone145,82453,365193,202433,55.43,0.73,Normal,7,NA
clone146,320931,521158,295797,56.76,0.74,Normal,7,NA
