"","chrom","start","end","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1076","chr1",856880,856881,"1","0","4","0","0","0","1","3","4","1","4","1","0","5","0","0","3","6","0","0","1","0","2","0","0","0","0","2","0","0","4","6","0","5","5","2","0","0","5","0","0","0","0","0","4","1","4","0","4","2","0","0","0","1","0","0","0","5","1","0"
"1077","chr1",856913,856914,"6","4","0","6","0","1","0","5","0","3","1","4","0","1","6","6","0","1","3","0","3","1","2","3","0","0","6","2","1","4","6","6","4","0","4","6","0","0","4","4","4","6","1","0","6","0","0","5","0","4","2","2","0","3","3","6","1","5","0","5"
"1078","chr1",856943,856944,"6","6","5","5","2","6","6","1","6","6","5","1","6","0","6","0","6","5","6","2","3","5","5","2","6","0","6","6","3","5","6","3","6","6","4","4","6","5","6","1","6","6","5","5","6","3","3","5","3","1","6","5","6","5","2","1","6","5","6","2"
"1079","chr1",856955,856956,"3","0","0","6","2","3","0","0","0","2","4","2","1","6","4","2","6","0","0","0","1","0","0","4","6","0","3","2","2","5","0","0","0","0","0","5","1","4","1","1","4","0","0","6","1","1","3","3","4","6","1","1","0","1","0","4","0","0","4","3"
"1080","chr1",856974,856975,"6","6","6","4","6","6","3","3","6","1","5","6","6","4","5","6","6","6","6","6","6","5","5","6","6","5","3","6","5","4","3","4","6","6","0","6","6","6","6","1","3","6","4","6","6","5","1","6","6","2","6","2","4","3","6","6","6","6","6","3"
"1081","chr1",856987,856988,"6","2","6","0","6","1","6","3","6","3","0","6","0","6","5","6","6","0","6","3","3","2","6","6","5","0","6","6","6","6","6","4","2","4","0","0","4","6","6","6","6","5","6","2","3","5","5","4","6","6","2","6","3","6","6","5","1","3","5","4"
"1082","chr1",856997,856998,"5","6","5","6","5","6","6","6","6","6","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","3","6","6","6","6","6","6","6","6","6","6","3","5","6","6","5","6","6","6","6","6","6"
"1083","chr1",857007,857008,"6","5","6","6","6","6","6","6","6","6","6","6","1","6","3","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","3","6","5","6","6","6","5","5","5","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","5","6","6"
"1084","chr1",857014,857015,"4","6","2","4","6","6","4","6","3","6","6","4","0","6","5","6","5","6","6","6","6","6","6","2","3","5","6","6","6","3","4","3","3","6","6","6","6","6","4","2","1","3","6","6","5","6","6","6","6","6","5","1","3","6","4","4","5","6","6","6"
"1085","chr1",857047,857048,"6","5","6","6","6","5","6","6","5","6","6","6","4","6","6","6","3","6","5","6","6","6","6","6","6","6","6","6","1","6","6","6","5","6","6","6","6","5","6","6","5","5","6","4","6","6","5","6","6","6","5","6","6","6","6","6","6","6","5","6"
"1086","chr1",857057,857058,"5","6","5","3","6","6","6","6","6","4","5","4","6","6","6","5","6","6","0","6","6","5","6","5","6","6","5","6","6","0","6","5","4","6","4","4","5","6","6","5","6","5","6","2","6","6","5","6","6","6","6","6","6","6","5","5","4","0","6","6"
"1087","chr1",866899,866900,"5","6","6","6","5","4","6","6","5","3","6","6","6","6","6","6","5","6","6","6","5","5","6","6","5","6","5","6","6","6","6","6","5","5","2","6","6","6","6","6","6","6","6","6","0","6","6","6","6","6","6","6","4","6","6","6","6","6","5","6"
"1088","chr1",866936,866937,"5","1","1","3","2","2","4","4","5","0","5","2","5","1","2","2","4","4","3","5","2","3","2","1","5","3","2","3","3","2","2","5","2","2","1","2","2","0","4","4","4","4","3","2","1","1","2","3","3","4","3","3","3","2","4","3","5","2","4","1"
"1089","chr1",866949,866950,"3","6","6","4","5","5","5","6","6","5","2","6","6","6","4","5","6","5","5","6","6","6","3","5","4","6","6","6","4","6","5","6","5","2","6","6","6","6","5","5","6","6","6","5","6","6","6","4","6","6","6","6","6","5","6","6","6","5","6","6"
"1090","chr1",867019,867020,"4","6","6","6","3","0","6","6","6","6","6","4","6","1","3","6","3","6","6","6","4","6","6","6","6","6","6","5","6","1","6","6","6","6","3","1","5","6","6","6","5","4","6","5","6","4","5","4","2","3","5","4","4","3","3","6","6","6","6","6"
"1091","chr1",867030,867031,"6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","4","4","6","6","6","5","6","6","6","6","6","6","6","4","6","4","6","5","6","6","6","5","6","6","6","6","6","6","6","6","5","6","3","6","6","6","2","6","6","6","6","6"
"1092","chr1",867040,867041,"5","6","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","5","5","6","6","5","6","1","6","6","6","6","6","5","6","5","6","3","6","6"
"1093","chr1",867937,867938,"5","6","6","5","5","6","6","6","3","6","6","6","5","6","6","6","6","6","5","5","6","5","6","5","6","6","5","6","5","6","6","6","6","6","6","3","6","6","6","6","6","5","6","6","6","6","6","5","6","6","6","6","6","5","6","6","6","6","5","6"
"1094","chr1",867946,867947,"6","6","6","6","6","6","3","6","6","6","6","5","3","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"1096","chr1",873450,873451,"6","6","4","3","6","6","6","6","6","6","6","6","6","5","5","4","6","6","5","6","6","6","6","6","6","3","6","5","5","5","6","6","6","5","5","6","5","6","3","6","3","6","6","6","6","6","6","3","6","3","6","6","6","6","5","3","6","6","6","6"
"1097","chr1",873484,873485,"6","6","6","6","3","6","6","5","5","5","6","6","6","6","6","6","6","6","6","6","5","5","2","6","6","6","6","6","6","6","5","5","6","4","6","3","6","4","6","6","6","5","6","6","6","1","6","6","6","6","6","6","6","6","2","5","6","6","5","5"
"1098","chr1",873501,873502,"3","6","5","4","6","6","6","6","5","6","6","6","6","5","3","6","6","6","6","5","4","6","6","6","5","6","5","6","6","6","6","6","6","6","4","4","6","6","5","6","6","6","6","6","6","6","3","6","6","6","6","6","4","6","6","6","6","6","6","6"
"1099","chr1",873511,873512,"6","6","6","6","6","6","6","3","6","5","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","6","5","6","6","6","6","6","3","6","6","5","6","6","6","6","5","6","6","3","6","6","5","6","6","6","6","3","6","5","6","5","6","6","6","6"
"1100","chr1",873521,873522,"6","6","6","6","6","6","5","6","6","6","5","4","5","5","6","6","4","6","3","5","6","6","6","6","6","5","6","5","3","6","6","6","6","6","6","6","6","6","5","6","5","6","5","6","5","3","6","6","6","3","6","6","6","5","6","5","6","6","6","6"
"1122","chr1",936281,936282,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1123","chr1",936300,936301,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1124","chr1",936312,936313,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1125","chr1",936317,936318,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
