"","chrom","start","end"
"1","chr1",0,724000
"2","chr1",878000,1219000
"3","chr1",1293000,1404000
"4","chr1",1466000,1545000
"5","chr1",1713000,1827000
"6","chr1",1865000,2022000
"7","chr1",2110000,2323000
"8","chr1",2346000,2557000
"9","chr1",2627000,2694000
"10","chr1",2740000,3316000
"11","chr1",3379000,3628000
"12","chr1",3845000,3995000
"13","chr1",4008000,6e+06
"14","chr1",6113000,6481000
"15","chr1",6558000,6615000
"16","chr1",6798000,7703000
"17","chr1",7733000,7979000
"18","chr1",8097000,8359000
"19","chr1",8476000,8867000
"20","chr1",8974000,9292000
"21","chr1",9293000,9554000
"22","chr1",9694000,10478000
"23","chr1",10593000,10976000
"24","chr1",11128000,11691000
"25","chr1",11726000,11864000
"26","chr1",11865000,11958000
"27","chr1",12178000,12277000
"28","chr1",12357000,12682000
"29","chr1",12945000,13143000
"30","chr1",13190000,13774000
"31","chr1",13825000,15772000
"32","chr1",15884000,16085000
"33","chr1",16125000,16310000
"34","chr1",16408000,16697000
"35","chr1",16698000,16750000
"36","chr1",16968000,17185000
"37","chr1",17308000,17362000
"38","chr1",17390000,17713000
"39","chr1",17785000,18895000
"40","chr1",18925000,19190000
"41","chr1",19231000,19538000
"42","chr1",19682000,19967000
"43","chr1",20006000,20201000
"44","chr1",20240000,20799000
"45","chr1",20850000,21046000
"46","chr1",21062000,21486000
"47","chr1",21556000,21936000
"48","chr1",22026000,22283000
"49","chr1",22449000,22966000
"50","chr1",23002000,23242000
"51","chr1",23331000,23595000
"52","chr1",23645000,24225000
"53","chr1",24257000,24363000
"54","chr1",24403000,24730000
"55","chr1",24744000,24956000
"56","chr1",24979000,25166000
"57","chr1",25188000,25532000
"58","chr1",25769000,26115000
"59","chr1",26180000,26734000
"60","chr1",26875000,27142000
"61","chr1",27302000,28542000
"62","chr1",28562000,28693000
"63","chr1",28694000,28824000
"64","chr1",28844000,28931000
"65","chr1",28995000,29482000
"66","chr1",29578000,29822000
"67","chr1",29877000,30035000
"68","chr1",30041000,31142000
"69","chr1",31214000,31389000
"70","chr1",31470000,31521000
"71","chr1",31550000,31617000
"72","chr1",31645000,32475000
"73","chr1",32659000,32797000
"74","chr1",32920000,33269000
"75","chr1",33349000,33546000
"76","chr1",33581000,34075000
"77","chr1",34139000,35199000
"78","chr1",35262000,35597000
"79","chr1",35631000,36235000
"80","chr1",36274000,36522000
"81","chr1",36567000,36882000
"82","chr1",37025000,37850000
"83","chr1",37967000,38433000
"84","chr1",38559000,39279000
"85","chr1",39361000,40201000
"86","chr1",40280000,40478000
"87","chr1",40561000,40997000
"88","chr1",41074000,41428000
"89","chr1",41583000,41667000
"90","chr1",41721000,41933000
"91","chr1",42031000,43219000
"92","chr1",43245000,43552000
"93","chr1",43678000,44511000
"94","chr1",44557000,45057000
"95","chr1",45311000,45763000
"96","chr1",45782000,45984000
"97","chr1",46106000,46685000
"98","chr1",46889000,47088000
"99","chr1",47246000,47514000
"100","chr1",47669000,47814000
"101","chr1",47871000,48931000
"102","chr1",48992000,50790000
"103","chr1",50862000,51161000
"104","chr1",51237000,51654000
"105","chr1",51778000,52493000
"106","chr1",52567000,52800000
"107","chr1",52898000,53161000
"108","chr1",53168000,53643000
"109","chr1",53723000,53889000
"110","chr1",53945000,54217000
"111","chr1",54313000,54533000
"112","chr1",54535000,55354000
"113","chr1",55385000,55483000
"114","chr1",55550000,57049000
"115","chr1",57081000,58947000
"116","chr1",58966000,59149000
"117","chr1",59212000,60234000
"118","chr1",60340000,60397000
"119","chr1",60440000,62601000
"120","chr1",62611000,62878000
"121","chr1",62948000,63215000
"122","chr1",63328000,63965000
"123","chr1",64081000,64682000
"124","chr1",64750000,66671000
"125","chr1",66717000,67968000
"126","chr1",68005000,68295000
"127","chr1",68302000,68550000
"128","chr1",68585000,68842000
"129","chr1",68965000,70566000
"130","chr1",70645000,70952000
"131","chr1",71067000,71513000
"132","chr1",71654000,74537000
"133","chr1",74588000,75174000
"134","chr1",75246000,76249000
"135","chr1",76335000,77577000
"136","chr1",77624000,78570000
"137","chr1",78642000,83555000
"138","chr1",83885000,83955000
"139","chr1",84010000,84294000
"140","chr1",84399000,84595000
"141","chr1",84610000,85706000
"142","chr1",85778000,87497000
"143","chr1",87591000,89047000
"144","chr1",89082000,89356000
"145","chr1",89473000,89867000
"146","chr1",89953000,90452000
"147","chr1",90570000,91956000
"148","chr1",91968000,92373000
"149","chr1",92460000,93179000
"150","chr1",93316000,94285000
"151","chr1",94496000,94803000
"152","chr1",94987000,95263000
"153","chr1",95300000,95535000
"154","chr1",95538000,95695000
"155","chr1",95767000,97309000
"156","chr1",97359000,100161000
"157","chr1",100278000,100902000
"158","chr1",100958000,101309000
"159","chr1",101415000,101907000
"160","chr1",102009000,103741000
"161","chr1",103785000,103913000
"162","chr1",103921000,104005000
"163","chr1",104021000,104108000
"164","chr1",104160000,104303000
"165","chr1",104356000,108240000
"166","chr1",108336000,108652000
"167","chr1",108755000,108854000
"168","chr1",108913000,109014000
"169","chr1",109123000,110526000
"170","chr1",110590000,110662000
"171","chr1",110699000,111039000
"172","chr1",111073000,111963000
"173","chr1",112009000,112287000
"174","chr1",112347000,112868000
"175","chr1",112934000,113241000
"176","chr1",113260000,113587000
"177","chr1",113689000,114259000
"178","chr1",114285000,114472000
"179","chr1",114547000,114828000
"180","chr1",114915000,116591000
"181","chr1",116696000,117042000
"182","chr1",117229000,117590000
"183","chr1",117620000,118467000
"184","chr1",118586000,120078000
"185","chr1",120162000,120383000
"186","chr1",120401000,120481000
"187","chr1",120533000,121152000
"188","chr1",121203000,142540000
"189","chr1",142659000,142796000
"190","chr1",142797000,143132000
"191","chr1",143146000,144005000
"192","chr1",144030000,144526000
"193","chr1",144527000,144590000
"194","chr1",144611000,144678000
"195","chr1",144679000,144839000
"196","chr1",144990000,145084000
"197","chr1",145146000,145205000
"198","chr1",145293000,145367000
"199","chr1",145428000,145581000
"200","chr1",145833000,146476000
"201","chr1",146597000,147353000
"202","chr1",147399000,147731000
"203","chr1",147760000,147825000
"204","chr1",147832000,148849000
"205","chr1",148851000,149030000
"206","chr1",149088000,149223000
"207","chr1",149318000,149788000
"208","chr1",149899000,150164000
"209","chr1",150230000,150534000
"210","chr1",150553000,150938000
"211","chr1",150994000,151163000
"212","chr1",151180000,151250000
"213","chr1",151254000,151839000
"214","chr1",151888000,151979000
"215","chr1",152030000,153414000
"216","chr1",153490000,153959000
"217","chr1",153980000,154892000
"218","chr1",154952000,155141000
"219","chr1",155306000,155553000
"220","chr1",155726000,156296000
"221","chr1",156346000,156425000
"222","chr1",156430000,156541000
"223","chr1",156601000,157014000
"224","chr1",157189000,157867000
"225","chr1",157922000,158096000
"226","chr1",158224000,158943000
"227","chr1",159097000,159727000
"228","chr1",159748000,159997000
"229","chr1",160004000,160348000
"230","chr1",160399000,160904000
"231","chr1",160994000,161099000
"232","chr1",161167000,161345000
"233","chr1",161782000,161995000
"234","chr1",162029000,162735000
"235","chr1",162847000,163261000
"236","chr1",163358000,165041000
"237","chr1",165097000,165560000
"238","chr1",165607000,165869000
"239","chr1",165953000,166767000
"240","chr1",166812000,169316000
"241","chr1",169381000,169842000
"242","chr1",169891000,171450000
"243","chr1",171468000,172368000
"244","chr1",172422000,172692000
"245","chr1",172799000,174180000
"246","chr1",174263000,174670000
"247","chr1",174734000,174951000
"248","chr1",175010000,175946000
"249","chr1",175979000,177894000
"250","chr1",178005000,178247000
"251","chr1",178294000,178977000
"252","chr1",179056000,179340000
"253","chr1",179353000,179812000
"254","chr1",179839000,180424000
"255","chr1",180501000,180801000
"256","chr1",180864000,181129000
"257","chr1",181175000,181979000
"258","chr1",182054000,182766000
"259","chr1",182933000,183574000
"260","chr1",183663000,184646000
"261","chr1",184753000,186211000
"262","chr1",186445000,186973000
"263","chr1",1.87e+08,192393000
"264","chr1",192441000,193189000
"265","chr1",193245000,196640000
"266","chr1",196799000,196915000
"267","chr1",196919000,197475000
"268","chr1",197507000,198661000
