"","chrom","start","end","meth","cov","avg"
"1","chr1",834032,834332,2,2,1
"2","chr1",839287,839587,11,15,0.733333333333333
"3","chr1",855680,855954,4,29,0.137931034482759
"4","chr1",855954,856228,1,26,0.0384615384615385
"5","chr1",856763,857063,71,107,0.663551401869159
"6","chr1",857506,857806,9,9,1
"7","chr1",858211,858511,14,15,0.933333333333333
"8","chr1",861560,861860,10,16,0.625
"9","chr1",864728,864945,23,27,0.851851851851852
"10","chr1",865709,866009,24,28,0.857142857142857
"11","chr1",866880,867180,30,35,0.857142857142857
"12","chr1",867787,868087,7,7,1
"13","chr1",873280,873580,39,57,0.68421052631579
"14","chr1",874745,875045,8,13,0.615384615384615
"15","chr1",933155,933346,4,5,0.8
"16","chr1",936240,936540,1,143,0.00699300699300699
"17","chr1",941510,941789,2,8,0.25
"18","chr1",942010,942328,13,40,0.325
"19","chr1",942328,942647,22,24,0.916666666666667
"20","chr1",943468,943768,16,19,0.842105263157895
"21","chr1",950759,950939,19,20,0.95
"22","chr1",956864,957164,4,21,0.19047619047619
"23","chr1",959030,959330,44,56,0.785714285714286
"24","chr1",959357,959638,14,15,0.933333333333333
"25","chr1",959638,959920,4,6,0.666666666666667
"26","chr1",967575,967740,1,2,0.5
"27","chr1",967816,968116,60,70,0.857142857142857
"28","chr1",970264,970443,13,15,0.866666666666667
"29","chr1",972074,972374,5,6,0.833333333333333
"30","chr1",973444,973740,9,9,1
"31","chr1",973740,974036,3,3,1
"32","chr1",986409,986709,26,30,0.866666666666667
"33","chr1",991382,991682,20,20,1
"34","chr1",993757,994057,7,22,0.318181818181818
"35","chr1",999071,999222,2,12,0.166666666666667
"36","chr1",999617,999873,0,41,0
"37","chr1",1001917,1002217,14,20,0.7
"38","chr1",1003439,1003904,47,61,0.770491803278689
"39","chr1",1005334,1005720,13,30,0.433333333333333
"40","chr1",1005758,1006058,19,28,0.678571428571429
"41","chr1",1008650,1009203,45,57,0.789473684210526
"42","chr1",1009203,1009757,10,79,0.126582278481013
"43","chr1",1009995,1010207,21,26,0.807692307692308
"44","chr1",1010207,1010420,39,46,0.847826086956522
"45","chr1",1015099,1015371,0,40,0
"46","chr1",1046204,1046473,0,0,NA
"47","chr1",1057541,1057841,2,87,0.0229885057471264
"48","chr1",1057936,1058236,24,53,0.452830188679245
"49","chr1",1059054,1059354,13,16,0.8125
"50","chr1",1060967,1061267,28,28,1
"51","chr1",1063035,1063335,23,25,0.92
"52","chr1",1063706,1063988,22,23,0.956521739130435
"53","chr1",1063988,1064271,21,23,0.91304347826087
"54","chr1",1064791,1064984,23,23,1
"55","chr1",1065713,1065878,29,32,0.90625
"56","chr1",1067193,1067439,5,5,1
"57","chr1",1069778,1070131,36,39,0.923076923076923
"58","chr1",1070131,1070485,51,64,0.796875
"59","chr1",1071250,1071550,23,27,0.851851851851852
"60","chr1",1073296,1073596,41,43,0.953488372093023
"61","chr1",1079012,1079361,4,4,1
"62","chr1",1080622,1080928,48,51,0.941176470588235
"63","chr1",1084322,1084622,3,3,1
"64","chr1",1093061,1093333,0,53,0
"65","chr1",1093333,1093606,0,107,0
"66","chr1",1095671,1095886,29,33,0.878787878787879
"67","chr1",1096992,1097419,37,41,0.902439024390244
"68","chr1",1097589,1097904,22,48,0.458333333333333
"69","chr1",1101482,1101726,38,40,0.95
"70","chr1",1101885,1102185,21,21,1
"71","chr1",1105339,1105639,37,43,0.86046511627907
"72","chr1",1143861,1144106,4,17,0.235294117647059
"73","chr1",1148460,1148760,8,10,0.8
"74","chr1",1151750,1152050,13,13,1
"75","chr1",1171801,1172101,47,51,0.92156862745098
"76","chr1",1172341,1172641,22,29,0.758620689655172
"77","chr1",1173765,1174055,16,22,0.727272727272727
"78","chr1",1174055,1174346,31,34,0.911764705882353
"79","chr1",1176225,1176525,21,36,0.583333333333333
"80","chr1",1196596,1196896,32,32,1
"81","chr1",1206221,1206521,28,30,0.933333333333333
"82","chr1",1217495,1217646,8,13,0.615384615384615
"83","chr1",1221672,1221972,28,36,0.777777777777778
"84","chr1",1225630,1225930,3,32,0.09375
"85","chr1",1238551,1238851,27,29,0.931034482758621
"86","chr1",1239108,1239408,12,13,0.923076923076923
"87","chr1",1240328,1240628,0,23,0
"88","chr1",1257430,1257730,21,22,0.954545454545455
"89","chr1",1261242,1261542,17,20,0.85
"90","chr1",1261681,1261981,15,17,0.882352941176471
"91","chr1",1280032,1280332,6,53,0.113207547169811
"92","chr1",1280854,1281022,2,34,0.0588235294117647
"93","chr1",1281472,1281772,11,13,0.846153846153846
"94","chr1",1282641,1282941,30,36,0.833333333333333
