"","chrom","start","end"
"1","chr1",834032,834332
"2","chr1",991382,991682
"3","chr1",1001917,1002217
"4","chr1",1465039,1465339
"5","chr1",1478019,1478319
"6","chr1",1992865,1993165
"7","chr1",2045531,2045831
"8","chr1",2059863,2060163
"9","chr1",2092375,2092675
"10","chr1",2334204,2334504
"11","chr1",2387659,2387959
"12","chr1",2434064,2434364
"13","chr1",2448326,2448626
"14","chr1",2703343,2703643
"15","chr1",2778910,2779210
"16","chr1",2804999,2805299
"17","chr1",2820080,2820319
"18","chr1",2826883,2827183
"19","chr1",2827259,2827544
"20","chr1",2827544,2827830
"21","chr1",2837367,2837667
"22","chr1",2842522,2842822
"23","chr1",2918573,2918873
"24","chr1",3007882,3008182
"25","chr1",3078373,3078673
"26","chr1",3148659,3148959
"27","chr1",3201802,3202102
"28","chr1",3241716,3242016
"29","chr1",3243405,3243705
"30","chr1",3302132,3302432
"31","chr1",3302817,3303117
"32","chr1",3349831,3350131
"33","chr1",3394558,3394858
"34","chr1",3462399,3462699
"35","chr1",3524308,3524608
"36","chr1",3632562,3632862
"37","chr1",3686957,3687257
"38","chr1",3791459,3791759
"39","chr1",4003949,4004249
"40","chr1",4087525,4087825
"41","chr1",4121669,4121969
"42","chr1",4218965,4219265
"43","chr1",4467900,4468200
"44","chr1",5483213,5483513
"45","chr1",5483632,5483932
"46","chr1",5561844,5562144
"47","chr1",5812730,5813030
"48","chr1",5968527,5968827
"49","chr1",6035642,6035942
"50","chr1",6132728,6133028
"51","chr1",6152922,6153222
"52","chr1",6698306,6698606
"53","chr1",7018798,7019098
"54","chr1",7118923,7119223
"55","chr1",7120749,7121049
"56","chr1",7692216,7692516
"57","chr1",8410923,8411223
"58","chr1",9069976,9070276
"59","chr1",9195350,9195650
"60","chr1",9509270,9509570
"61","chr1",9982402,9982702
"62","chr1",10676139,10676439
"63","chr1",10676595,10676895
"64","chr1",11565433,11565733
"65","chr1",13930635,13930935
"66","chr1",14742224,14742524
"67","chr1",15013016,15013316
"68","chr1",17631493,17631793
"69","chr1",18154878,18155178
"70","chr1",18201386,18201686
"71","chr1",18502952,18503252
"72","chr1",19052053,19052353
"73","chr1",19292342,19292642
